1479749363930 R
1479749365825 3 -2
1479749367108 6 1
1479749369896 6 -2
1479749370820 9 -1
1479749371764 2 2
1479749372744 3 3
1479749377120 2 -2
1479749378948 6 1
1479749381000 6 -1
1479749381941 R
1479749396424 3 -2
1479749397063 6 1
1479749398044 9 1
1479749399339 1 3
1479749400751 0 2
1479749402511 5 1
1479749403635 4 -4
1479749406155 5 -1
1479749409527 1 -1
1479749410651 9 -3
1479749416051 1 1
1479749418839 4 1
1479749420359 4 -1
1479749421252 R
1479749425951 0 1
1479749426694 10 -3
1479749429215 10 3
1479749431327 10 -3
1479749433650 5 1
1479749435742 4 -1
1479749436590 9 -2
1479749437686 6 -1
1479749439054 2 2
1479749442440 R
1479749450226 5 1
1479749455178 R
1479749462778 3 -2
1479749463882 6 1
1479749464721 9 1
1479749467126 5 1
1479749468713 5 -1
1479749469473 1 3
1479749470545 5 1
1479749472185 0 2
1479749473213 4 -4
1479749474541 10 -3
1479749475781 5 -2
1479749480905 1 -1
1479749482057 9 -4
1479749483589 1 1
1479749488505 0 -1
1479749489869 1 -3
1479749491125 6 -4
1479749492433 2 2
1479749493277 1 3
1479749494145 3 3
1479749494808 0 3
1479749496753 0 1
