1480544598613 R
1480544602963 R
1480544603243 R
1480544605366 10 -1
1480544606589 2 -1
1480544607543 9 -1
1480544609674 3 1
1480544612129 9 3
1480544616417 6 -1
1480544618025 5 -3
1480544619751 8 1
1480544621748 9 1
1480544623321 2 1
1480544625359 5 2
1480544626337 6 1
1480544629573 2 -1
1480544631141 1 1
1480544633308 9 -3
1480544638060 2 1
1480544639663 10 1
1480544641754 1 -1
1480544643648 9 -1
1480544645612 3 -2
1480544647172 2 1
1480544648917 5 -1
1480544650514 10 2
1480544652386 9 1
1480544654000 1 1
1480544655937 8 -4
1480544659220 1 -1
1480544660368 9 -1
1480544663827 2 -2
1480544669635 9 2
1480544674075 10 -3
1480544679026 9 2
1480544685818 5 2
1480544690320 3 3
1480544735162 1 1
1480544737067 9 -3
1480544739851 2 2
1480544747563 5 -2
1480544749502 10 1
1480544751197 8 2
1480544753508 1 -1
1480544755097 9 -1
1480544757010 2 -2
1480544760275 3 -3
1480544764764 2 2
1480544766367 5 2
1480544769520 5 -2
1480544781551 10 2
1480544789171 8 2
1480544798647 2 -2
1480544802297 9 2
1480544804867 10 -3
1480544806931 9 2
1480544810313 1 1
1480544812212 3 2
1480544813748 5 1
1480544837649 9 -3
1480544840404 10 1
1480544841762 3 -2
1480544844033 2 2
1480544845458 5 -1
1480544847314 10 2
1480545317668 2 -2
1480545319274 10 -3
1480545321189 9 3
1480545399086 3 2
1480545400667 1 -1
1480545402329 6 -1
1480545403989 5 -1
1480545405435 3 -2
1480545406727 2 3
1480545408647 4 1
1480545421362 R
1480545423759 9 -1
1480545425411 3 -1
1480545426710 5 -2
1480545432539 9 1
1480545433826 6 -1
1480545435154 5 -1
1480545436842 2 2
1480545438478 4 1
1480545440201 10 2
1480545441737 4 2
1480545443299 2 -3
1480545444860 5 1
1480545446796 0 1
1480545448434 7 1
1480545450097 1 -1
1480545453676 6 -1
1480545454529 3 -1
1480545455897 5 -1
1480545458858 2 3
1480545460394 4 -1
1480545461439 8 -3
1480545463449 4 1
1480545465248 2 -3
1480545468786 9 1
1480545470301 3 2
1480545471781 6 1
1480545475753 1 1
1480545477788 9 -1
1480545479465 2 1
1480545481028 7 2
1480545482531 1 -1
1480545484304 6 -1
1480545485942 3 -2
1480545488402 2 2
1480545494980 2 -2
1480545496636 3 2
1480545498676 6 1
1480545499837 5 1
1480545501185 6 1
1480545502852 9 -1
1480545504483 3 -1
1480545512673 2 1
1480545515183 7 -2
1480545518092 0 1
1480545519724 2 -2
1480545521597 3 1
1480545525468 1 1
1480545527396 7 -1
1480545529595 0 -1
1480545532624 9 2
1480545535291 6 -1
1480545536990 3 -1
1480545538613 9 -1
1480545540197 5 -1
1480545541857 2 3
1480545543884 4 -1
1480545549435 7 3
1480545550973 1 -1
1480545552506 6 -1
1480545553448 3 -1
1480545561591 8 1
1480545567131 8 3
1480545575714 4 1
1480545580795 7 1
1480545587274 2 -3
1480545591288 9 1
1480545619562 5 1
1480545631236 3 2
1480545635581 6 2
1480545636810 9 -2
1480545638974 0 1
1480545641076 3 -1
1480545642627 2 2
1480545645171 7 -3
1480545653026 2 -2
1480545655100 3 1
1480545658940 1 1
1480545660533 7 -1
1480545663488 0 -1
1480545665617 2 1
1480545668113 2 -1
1480545670353 9 2
1480545673311 7 1
1480545675300 1 -1
1480545678841 9 -2
1480545680824 0 1
1480545685929 3 -1
1480545692211 0 -1
1480545693892 9 2
1480545695706 6 -2
1480545697473 3 -1
1480545699301 5 -1
1480545700761 9 -1
1480545702340 2 3
1480545704356 7 3
1480545707201 2 -3
1480545709317 2 2
1480545711020 7 -3
1480545712580 2 -2
1480545716307 9 1
1480545718202 3 2
1480545725243 5 1
1480545726866 3 -2
1480545728341 9 -1
1480545729997 2 2
1480545732283 7 3
1480545740406 2 -2
1480545742533 9 1
1480545744970 3 2
1480545746962 6 2
1480545748998 9 -2
1480545750717 0 1
1480545752621 3 -1
1480545754254 2 2
1480545756027 7 -3
1480545757644 2 -2
1480545759530 3 1
1480545765357 1 1
1480545766892 0 -1
1480545768710 9 2
1480545770925 1 -1
1480545778614 9 -2
1480545780410 0 1
1480545782924 2 1
1480545784533 7 3
1480545786220 2 -1
1480545790805 2 1
1480545792060 3 -1
1480545794104 7 -3
1480545795852 2 -1
1480545798186 3 1
1480545799923 1 1
1480545801722 7 -1
1480545803542 3 -1
1480545805374 2 2
1480545807226 7 4
1480545810086 1 -1
1480545813332 2 -2
1480545814938 3 1
1480545819123 1 1
1480545821872 0 -1
1480545825283 1 -1
1480545827922 0 1
1480545829385 2 1
1480545832901 3 -1
1480545834519 2 1
1480545838551 0 -1
1480545840510 9 1
1480545841994 6 -2
1480545843643 3 -1
1480545845053 5 -1
1480545846282 2 1
1480545850306 4 -1
1480545858056 7 -3
