1479808085211 R
1479808086167 R
1479808091139 10 1
1479808092573 10 -2
1479808096379 1 1
1479808100058 5 -2
1479808103199 5 2
1479808110277 8 -3
1479808111561 10 2
1479808113665 10 -2
1479808114938 2 -1
1479808118251 3 2
1479808119828 9 2
1479808122003 9 1
1479808125183 8 1
1479808126272 2 2
1479808136173 2 -2
1479808147202 5 -2
1479808148751 3 -3
1479808149812 9 -3
1479808150923 2 2
1479808155413 8 3
1479808157044 10 3
1479808164824 1 -1
1479808168459 6 -1
1479808171353 5 -1
1479808173431 2 1
1479808176185 4 2
1479808178638 4 1
1479808181866 2 -3
1479808190127 2 3
1479808200468 2 -1
1479808202052 2 -2
1479808204859 9 1
1479808208878 3 1
1479808210873 5 1
1479808212268 6 1
1479808214068 1 1
1479808217676 9 -1
1479808225545 1 -1
1479808227799 9 -1
1479808231586 3 -1
1479808233053 2 2
1479808237181 0 2
1479808239046 0 -1
1479808241289 0 1
1479808243041 7 4
1479808252755 1 -1
1479808254767 0 -2
1479808256618 9 1
1479808257778 6 -2
1479808262100 2 -2
1479808270751 9 1
1479808271673 3 1
1479808275231 0 1
1479808280438 8 -1
1479808284972 0 -1
1479808286706 9 -1
1479808324082 6 2
1479808325084 R
1479808333723 5 -2
1479808334939 3 -1
1479808335961 9 -1
1479808337984 2 -1
1479808339306 10 -1
1479808340410 8 -3
1479808342086 9 3
1479808343400 9 1
1479808344543 3 3
1479808345695 5 2
1479808350758 6 -1
1479808351840 5 -3
1479808357551 3 -2
1479808359883 3 -1
1479808360866 9 -3
1479808362714 8 4
1479808366392 10 3
1479808367641 10 -3
1479808372840 9 1
1479808374957 9 2
1479808379674 9 -2
1479808384425 3 2
1479808385607 5 2
1479808387075 6 1
1479808388848 1 1
1479808395764 10 1
1479808397677 9 -1
1479808398652 3 -1
1479808399724 3 -1
1479808400648 5 -1
1479808404020 10 -1
1479808405441 8 -1
1479808406998 10 2
1479808409694 10 -2
1479808412176 8 1
1479808413832 2 2
1479808414779 10 3
1479808424160 R
1479808431065 3 -1
1479808434433 2 1
1479808435386 10 1
1479808438372 9 -1
1479808440318 2 -1
1479808441667 2 -1
1479808442612 10 -2
1479808444488 8 -3
1479808448401 5 -1
1479808449560 5 -1
1479808452487 9 1
1479808454986 1 1
1479808459188 2 2
1479808460820 10 3
1479808463191 8 1
1479808468657 2 -2
1479808469570 10 -3
1479808471975 3 3
1479808474746 9 3
1479808482158 1 -1
1479808483439 6 -1
1479808486022 5 -1
1479808489794 3 -2
1479808492807 9 -1
1479808493779 9 -2
1479808494901 3 -1
1479808497317 8 3
1479808498611 2 3
1479808500130 10 3
1479808501861 4 2
1479808503259 0 1
1479808512038 7 3
1479808514523 7 1
1479808517773 0 -1
1479808523697 4 1
1479808527992 2 -3
1479808532752 2 3
1479808534255 0 1
1479808535198 1 -1
1479808536641 6 -1
1479808538045 0 -1
1479808547248 3 -1
1479808551754 3 1
1479808556191 0 1
1479808559639 7 -3
1479808565752 7 2
1479808567539 6 1
1479808569855 1 1
1479808573713 7 -3
1479808576798 4 -1
1479808578722 8 -4
1479808582287 4 1
1479808587523 7 3
1479808588909 0 -1
1479808590346 4 -2
1479808590990 4 -1
1479808592903 1 -1
1479808594210 4 -1
1479808600478 8 1
1479808601743 7 1
1479808603139 0 1
1479808604781 7 -3
1479808606349 8 -1
1479808610858 10 -3
1479808612977 2 -3
1479808614395 9 2
1479808615454 3 3
1479808616384 9 1
1479808617384 5 3
1479808623814 0 2
1479808625419 4 1
1479808626834 6 1
1479808628206 1 2
1479808629612 0 3
