1482809528421 R
1482809537414 10 -1
1482809539629 10 1
1482809548181 3 -1
1482809548894 9 1
1482809549821 1 2
1482809551117 10 -1
1482809554741 10 1
1482809555798 2 2
1482809557309 6 1
1482809558533 6 -1
1482809559316 2 -2
1482809561222 10 -1
1482809562757 4 -1
1482809563461 10 2
1482809564453 0 2
1482809565901 0 -2
1482809566764 3 1
1482809567517 3 -1
1482809568933 1 -2
1482809569661 1 2
1482809571885 R
1482809586645 4 -1
1482809587845 10 1
1482809589253 3 -1
1482809589902 9 1
1482809590877 1 2
1482809591845 0 2
1482809593597 7 -2
1482809594909 5 3
1482809597357 5 -2
1482809598549 5 -1
1482809604701 7 2
1482809605733 5 3
1482809606446 6 -1
1482809609869 0 -1
1482809610701 2 2
1482809611492 3 1
1482809612156 8 1
1482809613333 6 4
1482809614789 2 -2
1482809615893 0 1
1482809616846 5 -3
1482809619245 7 -3
1482809622853 0 -2
1482809624092 10 -3
1482809625469 10 1
1482809626533 1 -2
1482809627430 9 -4
1482809629005 1 2
1482809629861 10 2
1482809630597 3 2
1482809631236 8 2
1482809632029 0 5
