1479996825785 R
1479996836037 5 2
1479996838920 3 1
1479996844113 10 -2
1479996845790 5 -2
1479996847966 3 2
1479996853222 6 2
1479996858622 9 2
1479996861735 1 3
1479996863822 2 -2
1479996866766 0 2
1479996875822 1 -1
1479996877917 4 -3
1479996882206 7 1
1479996886479 8 1
1479996887299 7 1
1479996889921 10 1
1479996893583 4 3
1479996897654 1 1
1479996900410 7 -2
1479996902732 0 -2
1479996904357 1 -1
1479996907085 8 -1
1479996909007 2 2
1479996913773 4 -3
1479996916283 3 -1
1479996917375 10 1
1479996921101 4 3
1479996923115 1 -2
1479996924312 9 -2
1479996926713 3 -2
1479996928776 5 1
1479996930670 10 -2
1479996936273 R
1479996952035 10 1
1479996954916 5 2
1479996957064 3 1
1479996960480 3 -1
1479996963022 10 -3
1479996964705 5 -2
1479996966649 3 3
1479996968859 6 2
1479996976537 1 1
1479996980203 R
1479996984593 10 -2
1479996986577 6 2
1479996988753 3 3
1479997000257 10 1
1479997064453 4 -3
1479997067653 3 -3
1479997069863 10 -1
