1482721830978 R
1482721837485 3 2
1482721841482 1 1
1482721844322 4 -3
1482721845803 6 2
1482721846907 1 -1
1482721848728 3 -2
1482721850010 10 -2
1482721851200 6 -2
1482721851976 5 3
1482721853561 2 2
1482721854714 0 1
1482721858578 7 1
1482721859579 2 -1
1482721861004 10 3
1482721862115 2 1
1482721863040 3 1
1482721864261 4 1
1482721866265 8 1
1482721867528 7 3
1482721868235 1 -1
1482721869764 8 -1
1482721871399 3 -1
1482721872408 2 -1
1482721873301 10 -2
1482721875043 3 1
1482721876301 4 -1
1482721880384 R
1482721882755 10 -2
1482721885733 3 3
1482721886859 6 2
1482721890801 9 2
1482721891595 1 3
1482721894402 2 -2
1482721895504 0 2
1482721899314 7 1
1482721901195 4 -1
1482721901926 1 -1
1482721902789 4 -2
1482721905253 0 -1
1482721908326 3 -1
1482721911606 10 2
1482721914398 4 3
1482721915205 1 1
1482721916240 3 -2
1482721917708 8 2
1482721918424 5 1
1482721919449 7 3
1482721920631 8 -2
1482721921984 3 1
1482721923936 4 -1
1482721924828 10 -1
1482721926710 0 -1
1482721927603 2 2
1482721928521 3 -1
1482721929967 2 -2
1482721932642 R
1482721944740 5 2
1482721946084 10 -2
1482721948555 5 -2
1482721952963 3 3
1482721957754 6 2
1482721963427 9 2
1482721964227 1 3
1482721965518 2 -2
1482721967143 0 1
1482721970384 3 -3
1482721971339 8 2
1482721971837 5 1
1482721972591 10 2
1482721973673 7 4
1482721974388 8 -2
1482721976975 10 -1
1482721979254 3 1
1482721981383 3 -1
1482721982869 4 -1
1482721984176 3 1
1482721985434 0 -1
1482721986615 2 2
1482721987198 3 -1
1482721988589 R
1482722002726 10 -2
1482722010227 4 -3
1482722014020 5 3
1482722016042 2 2
1482722022781 2 -2
1482722027773 10 4
1482722033348 2 2
1482722034069 R
1482722043905 4 -3
1482722047848 6 2
1482722058942 6 -2
1482722059609 10 2
1482722061165 6 1
1482722071654 10 -1
1482722075409 10 -3
1482722078602 4 3
1482722079503 3 3
1482722090799 6 1
1482722092051 9 2
1482722092830 1 3
1482722094383 2 -2
1482722106347 0 2
1482722107373 1 -1
1482722109769 4 -3
1482722121477 4 3
1482722122372 1 1
1482722128709 0 -2
1482722132891 2 2
1482722133855 1 -3
1482722135456 9 -2
1482722139833 3 -3
1482722148549 4 -3
1482722149482 6 -2
1482722150548 5 3
1482722164226 2 2
1482722166643 8 2
1482722167359 0 1
1482722168534 7 3
1482722170268 0 -1
1482722171372 1 -1
1482722173176 8 -1
1482722177016 8 1
1482722179293 8 -1
1482722182893 4 1
1482722187800 R
1482722193459 6 2
1482722196181 10 -1
1482722198079 3 3
1482722204873 9 2
1482722207407 1 3
1482722210361 2 -2
1482722212206 0 2
1482722213113 1 -1
1482722215781 4 -3
1482722226379 8 1
1482722230211 7 2
1482722231876 R
1482722240001 10 -1
