1481899501782 R
1481899516377 8 -2
1481899520952 8 2
1481899526353 0 2
1481899527240 7 1
1481899529000 8 -3
1481899531714 6 1
1481899535906 6 -2
1481899537417 5 1
1481899540009 1 -1
1481899541033 2 -3
1481899550361 0 -1
1481899552826 4 1
1481899553746 4 1
1481899554672 5 1
1481899556562 2 2
1481899560682 5 -1
1481899563337 4 -3
1481899564289 4 -1
1481899565264 5 1
1481899566104 4 1
1481899567424 9 1
1481899569513 8 1
1481899570280 7 -1
1481899571080 0 -1
1481899573977 1 -1
1481899576976 2 1
1481899578002 1 2
1481899582400 5 -2
1481899583656 6 2
1481899585687 4 2
1481899586817 4 -2
1481899587593 6 -2
1481899589719 5 2
1481899590424 1 -1
1481899591992 2 -3
1481899594695 5 -1
1481899596016 4 3
1481899603032 5 1
1481899605961 5 -1
1481899607128 4 -3
1481899608791 2 3
1481899610063 1 1
1481899611183 5 -1
1481899616920 9 -1
1481899618618 6 2
1481899620864 4 -1
1481899621561 6 -2
1481899622568 5 2
1481899624833 0 2
1481899626145 10 2
1481899631521 10 -2
1481899633333 1 -1
1481899634145 5 -1
1481899635586 4 3
1481899637368 2 -3
1481899641808 9 1
1481899646440 7 1
1481899647385 8 -1
1481899651257 9 -1
1481899652248 0 -1
1481899654202 4 1
1481899655400 5 1
1481899657240 2 2
1481899659688 5 -1
1481899661482 R
1481899671113 6 1
1481899673201 0 2
1481899675458 8 -2
1481899677450 4 -2
1481899678505 6 -2
1481899679545 5 2
1481899681980 1 -1
1481899682745 2 -3
1481899686320 0 -2
1481899688313 1 -1
1481899689121 5 -1
1481899690273 4 4
1481899691320 5 1
1481899692721 3 3
1481899693794 1 1
1481899696114 1 -1
1481899697000 3 -2
1481899699161 3 -1
1481899701328 5 -1
1481899706144 5 1
1481899708225 1 1
1481899710665 0 2
1481899713066 R
1481899720330 4 -1
1481899721427 8 -2
1481899722169 9 1
1481899724849 6 -1
1481899728841 5 2
1481899730928 10 2
1481899732386 0 2
1481899733330 7 2
1481899735200 8 -1
1481899736040 9 -2
1481899737889 0 -1
1481899738650 10 -1
1481899741370 5 -1
1481899744705 4 2
1481899746849 R
1481899752791 8 -2
1481899753849 6 -1
1481899754560 4 -2
1481899759503 5 2
1481899766512 0 2
1481899768904 10 2
1481899771672 10 -2
1481899772616 1 -1
1481899775759 2 -3
1481899781856 0 -2
1481899783224 1 -1
1481899786799 3 3
1481899788369 3 1
1481899791496 2 3
1481899793136 1 2
1481899794368 0 2
1481899795736 1 -1
1481899796863 2 -3
1481899798567 3 -1
1481899800080 3 1
1481899802416 0 -2
1481899803249 1 -1
1481899804145 3 -4
1481899805401 1 1
1481899806521 0 2
1481899808408 5 -1
1481899810448 9 1
1481899811265 7 1
1481899812026 8 -1
1481899812978 9 -1
1481899813794 0 -1
1481899815160 5 1
1481899820264 0 1
1481899821280 9 1
1481899822680 8 1
1481899823401 7 -1
1481899824289 9 -1
1481899825234 0 -2
1481899826025 1 -1
1481899829096 5 -1
1481899831040 4 4
1481899835073 9 1
1481899836120 1 1
1481899838402 R
1481899849424 4 1
1481899851481 8 -2
1481899852984 9 1
1481899856928 6 -1
1481899858320 5 1
1481899859696 0 2
1481899862552 10 1
1481899863712 7 2
1481899864856 9 -2
1481899866090 8 -1
1481899869226 4 -3
1481899870688 5 1
1481899872064 10 1
1481899872968 0 -1
1481899874137 10 -1
