1482815739929 R
1482815739929 R
1482815751405 4 -1
1482815751405 4 -1
1482815758683 6 1
1482815758683 6 1
1482815760709 6 -1
1482815760709 6 -1
1482815762164 4 2
1482815762164 4 2
1482815763698 6 1
1482815763698 6 1
1482815767909 0 2
1482815767909 0 2
1482815774200 7 1
1482815774200 7 1
1482815778165 8 -3
1482815778165 8 -3
1482815780630 0 -1
1482815780630 0 -1
1482815786365 4 -2
1482815786365 4 -2
1482815806890 4 -1
1482815806890 4 -1
1482815807634 R
1482815807634 R
1482815829377 4 1
1482815829377 4 1
1482815833092 6 1
1482815833092 6 1
1482815838964 9 3
1482815838964 9 3
1482815851002 8 -2
1482815851002 8 -2
1482815855541 9 -3
1482815855541 9 -3
1482815857015 0 2
1482815857015 0 2
1482815859865 7 1
1482815859865 7 1
1482815861358 8 -1
1482815861358 8 -1
1482815871643 6 -2
1482815871643 6 -2
1482815873712 5 1
1482815873712 5 1
1482815875422 1 -1
1482815875422 1 -1
1482815877586 2 -2
1482815877586 2 -2
1482815879187 4 1
1482815879187 4 1
1482815883162 5 1
1482815883162 5 1
1482815887991 5 -1
1482815887991 5 -1
1482815889912 2 1
1482815889912 2 1
1482815894631 4 -4
1482815894631 4 -4
1482815896747 5 1
1482815896747 5 1
1482815902070 5 -1
1482815902070 5 -1
1482815903721 2 -2
1482815903721 2 -2
1482815912617 0 -1
1482815912617 0 -1
1482815914383 5 1
1482815914383 5 1
1482815919630 5 -1
1482815919630 5 -1
1482815921862 5 1
1482815921862 5 1
1482815926976 2 3
1482815926976 2 3
1482815928777 1 1
1482815928777 1 1
1482815937108 1 -1
1482815937108 1 -1
1482815938751 2 -3
1482815938751 2 -3
1482815942765 2 3
1482815942765 2 3
1482815948087 4 1
1482815948087 4 1
1482815949509 5 -1
1482815949509 5 -1
1482815951911 4 2
1482815951911 4 2
1482815955106 2 -3
1482815955106 2 -3
1482815958725 2 2
1482815958725 2 2
1482815962720 R
1482815962720 R
1482815974664 6 1
1482815974664 6 1
1482816205974 4 1
1482816205974 4 1
1482816211308 8 -2
1482816211308 8 -2
1482816212828 9 3
1482816212828 9 3
1482816217121 0 2
1482816217121 0 2
1482816218120 7 1
1482816218120 7 1
1482816219097 8 -1
1482816219097 8 -1
1482816220676 9 -3
1482816220676 9 -3
1482816229307 4 -3
1482816229307 4 -3
1482816232340 6 -2
1482816232340 6 -2
1482816233324 5 2
1482816233324 5 2
1482816236010 10 2
1482816236010 10 2
1482816243764 0 -1
1482816243764 0 -1
1482816251148 8 1
1482816251148 8 1
1482816252621 7 -1
1482816252621 7 -1
1482816255091 10 -2
1482816255091 10 -2
1482816256503 0 1
1482816256503 0 1
1482816258920 5 -2
1482816258920 5 -2
1482816264725 5 2
1482816264725 5 2
