1479257258500 R
1479257264826 5 1
1479257274829 2 -1
1479257276338 6 -1
1479257278450 5 -1
1479257505906 4 1
1479257508177 1 3
1479257512749 5 1
1479257522813 6 2
1479257525246 10 1
1479257531037 10 -1
1479257532934 6 -2
1479257534011 5 -1
1479257538785 1 -1
1479257540819 1 -2
1479257545044 4 -1
1479257547327 1 3
1479257548791 4 1
1479257557613 5 1
1479257563645 6 2
1479257567125 2 1
1479257570708 2 -1
1479257573295 6 -2
1479257574637 5 -1
1479257582277 5 1
1479257585917 10 1
1479257589093 10 -1
1479257591575 10 1
1479257593617 1 -3
1479257596592 1 3
1479257599141 10 -1
1479257603717 5 -1
1479257608677 6 1
1479257610117 2 1
1479257612174 10 1
1479257613490 2 2
1479257616773 5 -1
1479257626494 7 -1
1479257628906 7 1
1479257634093 5 2
1479257638036 2 -3
1479257641220 6 -1
1479257642673 6 1
1479257655984 2 3
1479257658007 5 -2
1479257660679 6 1
1479257671087 0 1
1479257677391 9 -3
1479257680135 0 -1
1479257685734 0 1
1479257686919 6 -1
1479257695000 9 3
1479257704837 9 -3
1479257707153 8 -1
1479257713339 6 1
1479257718938 0 -1
1479257720142 5 3
1479257725595 6 -1
1479257727332 0 1
1479257728708 9 2
1479257730485 6 1
1479257733890 2 -3
1479257735524 10 -1
1479257736956 6 -2
1479257751039 0 4
