1480540471142 R
1480540476090 2 -3
1480540477489 8 1
1480540480322 1 2
1480540482927 7 1
1480540485830 7 -2
1480540486919 9 2
1480540495717 1 -2
1480540501404 R
1480540510148 2 1
1480540515577 2 -4
1480540517577 8 1
1480540519179 10 2
1480540523295 1 2
1480540524189 7 1
1480540528413 5 -1
1480540530871 10 -2
1480540532008 7 -2
1480540533136 1 -2
1480540536504 8 -2
1480540537578 6 3
1480540538924 2 4
1480540540337 6 -3
1480540541732 8 2
1480540544322 1 1
1480540545676 5 2
1480540547060 10 2
1480540559438 5 -2
1480540560114 1 -1
1480540562704 10 -2
1480540565980 8 -2
1480540566874 6 3
1480540569480 10 1
1480540570236 3 3
1480540571472 7 -1
1480540573362 6 -2
1480540574242 2 -3
1480540575034 1 2
1480540577920 5 3
1480540579578 1 -2
1480540580596 6 1
1480540582214 5 -3
1480540582984 6 1
1480540583886 2 3
1480540590056 R
1480540594840 5 2
1480540596902 1 1
1480540599546 1 -1
1480540601080 5 -3
1480540604534 2 -3
1480540608058 8 1
1480540611286 2 1
1480540612157 10 2
1480540617961 10 -2
1480540618707 7 -1
1480540619694 8 -2
1480540621213 1 2
1480540622728 8 2
1480540623600 9 2
1480540625078 5 3
1480540626681 4 -1
1480540627715 9 -1
1480540628320 1 -2
1480540629130 5 -4
1480540630794 8 -1
1480540632334 2 3
1480540633206 8 1
1480540636076 10 2
1480540639040 1 1
1480540641343 5 3
1480540642510 4 1
1480540643154 9 -1
1480540643894 1 -1
1480540644492 5 -2
1480540645706 7 1
1480540647068 10 -2
1480540647938 8 -1
1480540649268 2 -4
1480540650343 8 1
1480540652030 1 2
1480540656806 7 1
1480540657989 0 2
1480540661895 5 3
1480540662718 7 1
1480540663777 8 -2
1480540670916 2 2
1480540672241 2 -2
1480540673842 8 2
1480540681418 7 -1
1480540682431 5 -3
1480540686918 2 1
1480540687649 2 -1
1480540688521 8 -1
1480540690682 5 3
1480540691811 7 1
1480540693055 9 1
1480540693786 8 1
1480540694495 9 1
1480540696657 4 -3
1480540697661 9 -2
1480540698376 8 -2
1480540700749 8 2
1480540701923 7 -1
1480540702738 5 -4
1480540703985 7 1
1480540705127 8 -2
1480540707765 8 2
1480540713187 2 1
1480540714097 2 -1
1480540715933 8 -2
1480540717419 6 1
1480540718351 2 2
1480540720203 2 -2
1480540720973 6 -1
1480540724341 8 2
1480540725703 7 -1
1480540727701 5 3
1480540729639 7 1
1480540730573 9 2
1480540731211 0 -1
1480540732377 9 -2
1480540733333 10 2
1480540735247 7 -1
1480540735979 5 -3
1480540741907 3 1
1480540742777 4 -1
1480540743563 0 -1
1480540749577 7 -1
1480540750463 1 -3
1480540751435 10 2
1480540753427 8 -1
1480540755449 8 1
1480540758039 U
1480540758445 U
1480540758965 U
1480540759727 U
