1479532820748 R
1479532828176 8 -1
1479532831822 8 1
1479532834019 4 -1
1479532838541 2 -1
1479532841437 9 -2
1479532842441 10 -1
1479532844951 9 1
1479532845744 2 1
1479532846663 4 1
1479532848256 8 -2
1479532851101 10 2
1479532853829 9 1
1479532858076 3 -1
1479532859214 4 -1
1479532859983 7 -1
1479532861804 8 -1
1479532865294 3 2
1479532866691 5 3
1479532871181 2 1
1479532876537 3 -1
1479532877610 8 2
1479532878587 7 1
1479532879721 2 -2
1479532881217 0 3
1479532882411 2 2
1479532887357 1 -2
1479532888169 6 -2
1479532889687 2 -2
1479532891956 9 -2
1479532894845 9 2
1479532896346 0 -1
1479532898530 R
1479532902678 3 -1
1479532906370 3 1
1479532908241 2 1
1479532911509 2 -1
1479532923849 2 1
1479532926552 4 -1
1479532931874 8 -2
1479532933585 2 -2
1479532934766 3 -1
1479532937183 10 1
1479532940845 8 1
1479532942562 2 1
1479532943234 7 -1
1479532944934 3 1
1479532945733 2 1
1479532947770 8 -2
1479532948867 3 1
1479532950448 5 3
1479532951898 3 -1
1479532953922 8 2
1479532956311 7 1
1479532957344 2 -2
1479532958576 0 3
1479532959747 3 -1
1479532962678 2 1
1479532965065 4 1
1479532966732 1 -3
1479532970266 1 3
1479532972582 4 -1
1479532973435 2 -1
1479532974523 6 -2
1479532975511 1 -2
1479532978295 3 1
1479532979458 9 -2
1479532985559 9 2
1479532986018 2 2
1479532987126 4 1
1479532988173 1 -1
1479532989391 6 2
1479532990224 2 -1
1479532991591 9 -1
1479532992347 6 -2
1479532994228 9 1
1479532994845 6 2
1479532995440 1 3
1479532996544 4 -1
1479532997318 2 -1
1479532999076 R
1479533010812 9 -1
1479533011949 10 -1
1479533018697 4 -1
1479533019674 7 -1
1479533021051 8 -3
1479533027949 8 3
1479533028953 7 1
1479533029760 2 -1
1479533034461 9 -1
1479533035956 9 1
1479533038706 9 -1
1479533040916 8 -2
1479533042977 8 1
1479533043847 8 1
1479533044666 9 1
1479533046451 0 1
1479533048875 1 -2
1479533052768 10 1
1479533053411 9 1
1479533054287 3 -1
1479533055553 8 -2
1479533057257 10 1
1479533058557 10 -1
1479533059233 3 1
1479533061305 1 2
1479533062382 0 -1
1479533062910 2 2
1479533065188 7 -1
1479533066096 8 -1
1479533067191 3 1
1479533068613 5 2
1479533069764 10 1
1479533070627 5 1
1479533075209 3 -1
1479533076259 8 2
1479533078380 7 1
1479533079235 2 -2
1479533080887 0 3
1479533082538 2 2
1479533083579 7 -1
1479533084516 8 -2
1479533093089 3 1
1479533093842 3 -1
1479533098612 8 2
1479533099509 7 1
1479533100218 2 -2
1479533101650 0 -1
1479533105026 6 -2
1479533106490 6 2
1479533107378 0 -2
1479533108091 2 2
1479533109165 7 -1
1479533111043 8 -2
1479533111816 3 1
1479533112887 5 -3
1479533114372 10 -1
1479533116481 5 2
1479533117661 5 -2
1479533118478 3 -1
1479533120126 8 3
1479533123044 2 -1
1479533124922 9 -1
1479533125682 10 -1
1479533127177 10 1
1479533129045 7 1
1479533129770 2 -1
1479533130626 0 1
1479533134970 10 -1
1479533136245 8 -2
1479533140945 R
