1482297757148 R
1482297761716 3 -1
1482297762635 7 1
1482297763124 7 -2
1482297766836 8 1
1482297768435 4 -3
1482297771684 2 1
1482297776778 9 -2
1482297779586 9 2
1482297780618 8 -1
1482297782890 7 2
1482297783698 3 1
1482297784979 4 2
1482297790851 4 -2
1482297791492 3 -1
1482297791963 7 -2
1482297793050 R
1482297794939 R
1482297795123 R
1482297800770 4 -3
1482297802114 2 1
1482297805474 7 1
1482297811266 7 -2
1482297812618 8 1
1482297818674 3 -1
1482297823122 2 -1
1482297824243 6 -1
1482297825418 4 4
1482297828186 3 1
1482297830162 8 -1
1482297831034 7 2
1482297833267 3 -1
1482297850507 7 -2
1482297853338 9 -1
1482297854074 9 1
1482297859018 8 1
1482297862627 4 -3
1482297863667 4 -1
1482297865203 2 1
1482297865826 6 1
1482297866954 9 -2
1482297867867 2 -2
1482297868626 6 -2
1482297869642 3 3
1482297870483 8 2
1482297874162 0 2
1482297875403 7 2
1482297876211 10 3
1482297877066 0 -2
1482297879459 5 -2
1482297880187 9 -2
1482297880891 1 -2
1482297882003 2 -1
1482297884482 6 -1
1482297885490 7 2
1482297886698 0 2
1482297887611 7 -2
1482297888859 10 -1
1482297889770 10 1
1482297891355 10 -1
1482297893794 2 1
1482297894426 6 1
1482297895154 1 2
1482297898314 1 -2
1482297901858 10 1
1482297902923 0 -2
1482297905138 1 2
1482297906132 5 2
1482297907602 9 2
1482297910211 9 -2
1482297911339 5 -2
1482297911866 1 -2
1482297912491 2 -1
1482297913043 6 -1
1482297914658 7 2
1482297915466 8 -2
1482297916082 4 4
1482297917123 10 1
1482297917818 8 2
1482297919634 7 -4
1482297920778 2 1
1482297922330 6 1
1482297923498 8 -3
1482297924379 3 -1
1482297925034 4 -2
1482297925741 6 2
1482297928034 8 1
1482297929899 1 2
1482297930683 8 -2
1482297931523 0 2
1482297932635 1 -1
1482297935946 7 2
1482297936699 10 -2
1482297939082 3 -2
1482297939874 2 2
1482297940578 0 3
