1482733916095 R
1482733918661 R
1482734114129 4 -3
1482734116829 2 1
1482734121413 3 -1
1482734124932 7 -1
1482734126769 8 1
1482734135421 6 -1
1482734138043 9 -2
1482734141921 6 -1
1482734146327 2 -2
1482734172272 2 2
1482734174064 3 1
1482734176429 6 2
1482734178861 4 2
1482734181383 9 2
1482734183120 8 -1
1482734184780 7 2
1482734199281 3 -1
1482734205447 9 -1
1482734207429 6 -2
1482734209357 2 -1
1482734211229 4 2
1482734218075 3 1
1482734220361 7 -2
1482734222054 8 1
1482734224016 9 -1
1482734232468 2 -1
1482734278437 6 1
1482734289220 2 1
1482734292738 9 2
1482734298106 8 -1
1482734300695 7 2
1482734309146 9 -1
1482734313337 6 -1
1482734324924 7 -2
1482734327682 8 1
1482734329913 9 -1
1482734334462 2 -1
1482734339573 3 2
1482734342879 8 2
1482734356506 7 2
1482734361344 0 2
1482734366993 10 4
1482734371858 9 -2
1482734378771 5 -2
1482734382223 1 -2
1482734391144 10 -2
1482734397557 2 -1
1482734400046 6 -1
1482734406944 7 2
1482734409452 8 -1
1482734414529 4 -4
1482734420204 8 1
1482734423658 7 -2
1482734425977 6 1
1482734430521 7 1
1482734432806 8 -1
1482734437894 10 1
1482734444517 6 -1
1482734451423 9 2
1482734453169 10 -2
1482734456789 8 1
1482734459547 7 -3
1482734472391 2 1
1482734478488 6 1
1482734483882 8 -1
1482734491037 2 -1
1482734492132 6 -1
1482734505534 4 4
1482734509119 8 1
1482734516985 4 -1
1482734521010 8 -1
1482734527846 4 -3
1482734531458 8 1
1482734532948 7 4
1482734538550 10 1
1482734541096 9 -2
1482734544336 8 -1
1482734546028 7 -1
1482734558423 R
1482734565777 7 -1
1482734576684 4 -3
1482734579275 3 -1
1482734581389 2 1
1482734584013 3 1
1482734589750 8 1
1482734597549 9 -2
1482734600427 2 -2
1482734645371 U
1482734659887 U
1482734660143 U
1482734661140 U
1482734663111 U
1482734663685 U
1482734663873 U
1482734664357 U
1482734673233 6 -1
1482734676406 4 1
1482734680809 3 -1
1482734690437 7 -1
1482734693418 8 1
1482734702770 4 -4
1482734705987 2 1
1482734707836 6 1
