1482331102857 R
1482331106021 4 -2
1482331107162 6 -1
1482331131524 3 2
1482331135174 1 1
1482331136431 0 1
1482331142507 7 1
1482331143534 6 2
1482331144843 4 2
1482331145808 9 3
1482331148919 8 2
1482331151892 0 -1
1482331152955 1 -3
1482331155241 5 -1
1482331164048 4 1
1482331166749 3 -2
1482331167959 6 1
1482331169092 4 1
1482331171285 1 1
1482331179662 2 2
1482331198235 R
1482331207559 3 2
1482331208963 1 1
1482331209729 10 1
1482331210939 0 1
1482331213061 4 -2
1482331214065 6 -1
1482331217059 7 1
1482331218703 4 2
1482331219989 6 2
1482331221337 9 3
1482331224144 8 2
1482331225307 2 2
1482331239722 R
1482331287661 3 -1
1482331288583 5 1
1482331289590 7 3
1482331292963 7 -3
1482331293943 5 -1
1482331295001 6 2
1482331296731 8 2
1482331297907 7 -1
1482331299157 7 2
1482331299889 9 3
1482331301208 1 -2
1482331302688 5 -1
1482331308135 3 2
1482331310121 10 1
1482331312849 R
1482331378090 3 2
1482331378875 1 1
1482331381046 0 1
1482331382607 8 2
1482331383880 7 -1
1482331385564 0 1
1482331391818 10 -1
1482331400962 6 1
1482331409920 10 1
1482331411023 0 -2
1482331412034 1 -1
1482331413276 7 2
1482331414994 9 3
1482331416331 1 -2
1482331418700 5 -1
1482331419664 3 -3
1482331420514 6 1
1482331421296 4 2
