1480295776652 R
1480295780244 R
1480295782534 6 -1
1480295783344 5 1
1480295786024 7 2
1480295787267 3 -1
1480295790464 7 1
1480295794456 4 -2
1480295795648 9 1
1480295797632 4 2
1480295798788 7 -2
1480295800346 5 -1
1480295801602 6 3
1480295802604 4 -2
1480295807400 3 2
1480295809769 10 1
1480295815242 4 2
1480295816160 9 2
1480295821289 10 -1
1480295822202 3 -2
1480295826520 9 -3
1480295827551 4 -2
1480295828880 7 -1
1480295833920 6 -3
1480295835368 5 1
1480295836632 7 3
1480295838624 7 -3
1480295840080 3 3
1480295841744 1 1
1480295843216 10 1
1480295844608 7 2
1480295847155 0 3
1480295852530 9 1
1480295854821 10 -2
1480295856683 10 2
1480295860250 10 -2
1480295861256 1 -1
1480295863059 3 -3
1480295865604 7 1
1480295872841 10 1
1480295873928 9 -1
1480295878216 6 1
1480295884324 R
1480295886329 6 -1
1480295887433 4 -2
1480295889296 5 1
1480295890936 7 2
1480295893312 3 2
1480295895579 1 1
1480295897296 0 3
1480295898760 10 -1
1480295899680 1 -1
1480295900776 3 -3
1480295903856 7 1
1480295909176 6 1
1480295911432 10 1
1480295919065 R
1480295921216 4 -2
1480295922801 5 1
1480295924464 7 2
1480295926218 3 2
1480295928972 10 1
1480295929953 10 -1
1480295930936 3 -3
1480295932441 7 1
1480295934346 6 -1
1480295943482 7 -2
1480295944513 5 -1
1480295946645 7 -1
1480295948856 5 1
1480295949898 7 3
1480295953450 4 2
1480295955448 9 2
1480295961049 U
1480295964027 R
1480295967736 6 2
1480295969400 8 2
1480295970840 2 2
1480295972411 7 1
1480295974052 9 3
1480295979356 3 1
1480295980710 10 1
1480295983784 9 -3
1480295985481 4 -1
1480295986975 7 -1
1480295991051 10 -1
1480295992109 3 -2
1480295996795 7 1
1480295997968 4 1
1480295998960 6 -2
1480296000783 2 -2
1480296002280 9 2
1480296003320 8 -2
1480296004996 9 -2
1480296006886 4 -2
1480296009525 5 1
1480296010551 7 2
1480296013081 6 -1
1480296014518 9 1
1480296019704 7 -2
1480296020762 3 1
1480296022649 3 2
1480296024016 1 1
1480296025240 10 1
1480296026480 7 1
1480296028584 0 2
1480296032912 10 -2
1480296036194 0 1
1480296037893 1 -1
1480296039008 3 -3
1480296041984 7 1
1480296044752 6 1
1480296048554 7 -1
1480296050940 10 1
1480296051833 9 -1
1480296053408 9 1
1480296056593 6 -1
1480296062952 3 3
1480296064776 1 1
1480296066914 9 -1
1480296069923 10 1
1480296071666 1 -1
1480296073241 3 -1
1480296074868 10 -2
1480296076088 3 -2
1480296078504 7 1
1480296084192 10 1
1480296090280 7 -1
