1482852569508 R
1482852570756 R
1482852573287 7 -1
1482852574592 2 -1
1482852576044 4 -3
1482852577528 6 2
1482852578440 3 -1
1482852579079 6 1
1482852581399 5 -1
1482852582489 8 -1
1482852583468 1 1
1482852584470 10 1
1482852586657 8 3
1482852587822 5 1
1482852589465 10 -1
1482852597666 5 -1
1482852598699 8 -3
1482852599601 10 1
1482852601457 1 -1
1482852603921 10 -1
1482852604742 1 1
1482852606148 9 -1
1482852607723 1 -1
1482852608960 2 1
1482852609568 4 1
1482852610521 7 2
1482852612167 6 -2
1482852613157 3 3
1482852614630 2 1
1482852615389 7 1
1482852616172 1 -1
1482852620289 0 1
1482852621695 0 -1
1482852627377 3 -2
1482852629581 9 1
1482852632042 8 3
1482852633294 10 1
1482852634790 5 1
1482852635634 6 -1
1482852636612 10 -1
1482852637400 8 -2
1482852638637 4 2
1482852644386 0 2
1482852648504 0 -2
1482852652958 1 1
1482852654117 7 -3
1482852656018 7 3
1482852657143 1 -1
1482852658156 2 -1
1482852659990 1 1
1482852660777 7 -3
1482852661750 2 -1
1482852662791 3 -1
1482852665311 4 -3
1482852667392 9 -1
1482852668506 3 3
1482852671566 2 2
1482852672691 4 2
1482852673811 7 3
1482852674817 1 -1
1482852675751 0 1
1482852679486 4 -1
1482852680746 2 -1
1482852682298 3 -2
1482852683333 3 2
1482852693975 4 1
1482852695044 2 1
1482852696428 0 -1
1482852697395 1 1
1482852698130 7 -3
1482852699274 2 -2
1482852702446 7 1
1482852705161 7 -1
1482852705935 4 -2
1482852706991 6 2
1482852708510 3 -2
1482852709523 3 -1
1482852710231 6 1
1482852711030 1 1
1482852711964 9 1
1482852712628 10 1
1482852713642 10 -1
1482852714287 8 2
1482852715777 5 -1
1482852719265 2 1
1482852719805 4 1
1482852720435 7 2
1482852721380 1 -1
1482852724125 8 -3
1482852725182 9 -1
1482852726060 6 -2
1482852727072 3 3
1482852728006 2 1
1482852728872 7 1
1482852729718 1 -1
1482852731810 2 -1
1482852732798 6 1
1482852734070 0 1
1482852734824 5 -3
1482852735613 10 -1
1482852736882 6 -2
1482852739638 2 1
1482852740572 4 1
1482852742035 0 -1
1482852743193 2 -1
1482852743689 4 -1
1482852744386 6 2
1482852745477 3 -2
1482852751394 1 1
1482852752294 7 -2
1482852753262 3 -1
1482852753904 2 -1
1482852754527 6 1
1482852755636 1 2
1482852757143 9 1
1482852767953 8 3
1482852769327 1 1
1482852771779 6 -3
1482852772882 4 2
1482852775570 0 3
1482852777381 5 1
1482852778296 7 -1
1482852779373 0 -1
1482852782939 0 1
1482852784064 3 1
1482852785796 3 -1
1482852795145 0 -2
1482852796540 4 -3
1482852798587 9 -1
1482852799971 0 1
1482852804212 0 1
1482852805102 6 3
1482852806698 1 -3
1482852808813 8 -3
1482852809905 6 -3
1482852810973 3 3
1482853094184 0 2
