1482785790284 R
1482785896530 10 -1
1482785897631 10 1
1482785899758 10 -1
1482785901105 6 -1
1482785902306 8 1
1482785908288 9 -3
1482785909481 5 1
1482785912351 10 2
1482785913674 10 -2
1482785915816 10 2
1482785918229 10 -2
1482785919004 4 -2
1482785920176 3 3
1482785921230 1 3
1482785922537 8 2
1482785923708 4 2
1482785926728 5 -1
1482785927582 9 1
1482785930047 0 3
1482785930989 8 -3
1482785931822 5 -1
1482785935699 9 -1
1482785944406 5 2
1482785945796 8 3
1482785947241 0 -2
1482785950007 10 2
1482785956727 10 -2
1482785957383 0 1
1482785958442 2 1
1482785960402 0 1
1482785961520 0 -1
1482785963564 5 -1
1482785966169 5 1
1482785966834 5 -1
1482785968275 2 -1
1482785971803 2 1
1482785973156 9 1
1482785973847 9 -1
1482785977530 2 -1
1482785980609 0 -2
1482785981569 8 -3
1482785983241 6 1
1482785985592 5 1
1482785986174 6 1
1482785992848 10 1
1482785993469 10 -1
1482786007460 7 -1
1482786009894 6 -1
1482786011274 5 -1
1482786012613 5 1
1482786013249 6 1
1482786013864 6 -1
1482786014616 7 1
1482786015158 6 -1
1482786016361 8 3
1482786020469 0 3
1482786025968 5 -1
1482786027979 8 -3
1482786028732 5 -1
1482786030459 5 2
1482786038702 8 3
1482786042075 2 1
1482786044457 8 -3
1482786047070 4 -1
1482786047559 4 1
1482786048157 8 3
1482786050367 5 -1
1482786054060 R
1482786056324 10 -1
1482786058047 10 1
1482786062841 10 -1
1482786067044 6 -1
1482786067985 8 1
1482786074723 9 -3
1482786075445 5 1
1482786080630 4 -2
1482786081811 3 3
1482786084761 8 -1
1482786085449 8 2
1482786086455 1 3
1482786087150 8 1
1482786087999 0 1
1482786090042 3 -1
1482786090695 3 1
1482786091354 4 2
1482786092374 0 2
1482786093228 8 -3
1482786094131 4 -1
1482786095088 1 -3
1482786098240 8 2
1482786101678 2 1
1482786106032 4 1
1482786106802 5 -1
1482786107710 9 1
1482786111380 8 -2
1482786112182 5 -1
1482786113963 5 1
1482786117020 8 2
1482786117754 8 -2
1482786119315 8 1
1482786120074 8 1
1482786123750 8 -2
1482786125411 5 -1
1482786128998 9 -1
1482786138553 9 1
1482786139054 9 -1
1482786140865 R
1482786148209 10 -1
1482786153993 6 -1
1482786155328 5 -1
1482786157810 10 1
1482786160359 10 -1
1482786162604 5 1
1482786164015 8 1
1482786166829 8 -1
1482786167598 6 1
1482786168439 6 -1
1482786169095 8 1
1482786173770 10 1
1482786175427 9 -3
1482786176117 5 1
1482786178648 8 -1
1482786180961 4 -1
1482786182375 4 1
1482786183323 10 -1
1482786184158 4 -2
1482786185042 3 2
1482786186496 8 2
1482786187580 8 -2
1482786188523 1 3
1482786189474 1 -1
1482786190615 8 3
1482786191290 0 1
1482786197003 3 1
1482786197718 4 1
1482786198777 0 2
1482786199817 8 -3
1482786203610 1 -2
1482786205632 1 3
1482786207484 R
1482786210211 10 -1
1482786217540 9 -3
1482786219157 5 1
1482786222482 6 1
1482786223761 6 -2
1482786225983 4 -2
1482786227850 3 2
1482786229975 3 1
1482786231365 3 -3
1482786234282 6 1
1482786234865 6 -1
1482786235438 8 1
