1482418774310 R
1482418775752 10 -1
1482418776962 6 -1
1482418779086 5 -1
1482418779556 9 -3
1482418783825 5 2
1482418784343 4 -2
1482418784810 3 3
1482418785145 1 3
1482418785501 6 1
1482418786198 6 -1
1482418786547 8 3
1482418786935 4 2
1482418787350 0 3
1482418788942 8 -3
1482418790217 5 -2
1482418792357 5 2
1482418793008 6 2
1482418793926 2 4
1482418794544 6 -2
1482418795314 8 3
1482418796670 0 -2
1482418797545 5 -1
1482418797858 5 1
1482418798590 10 2
1482418799113 10 -2
1482418800175 0 2
1482418801745 8 -3
1482418802529 6 2
1482418803182 2 -4
1482418803817 7 -4
1482418804333 6 -2
1482418804902 8 3
1482418805654 5 -1
1482418806795 9 1
1482418807834 9 -1
1482418810444 8 -3
1482418810860 5 -1
1482418813286 9 1
1482418813890 9 -1
1482418815876 5 2
1482418816249 4 -1
1482418816849 1 -4
1482418817364 4 1
1482418818012 5 -2
1482418820187 2 1
1482418820835 7 1
1482418821302 2 -1
1482418822239 7 -1
1482418823429 5 2
1482418823967 8 3
1482418824447 5 -1
1482418828589 8 -3
1482418829312 5 1
1482418829838 4 -1
1482418830882 8 3
1482418831340 0 -2
1482418831734 4 -1
1482418832797 0 -1
1482418833281 8 -3
1482418836761 3 -3
1482418838232 3 -1
1482418840488 4 2
1482418841176 8 3
1482418841889 5 -1
1482418842552 9 3
1482418843187 0 5
