1481902697928 R
1481902719420 7 -1
1481902733559 8 1
1481902738188 7 3
1481902739919 4 -1
1481902741359 1 -2
1481902746696 9 -2
1481902749100 5 3
1481902752543 8 -1
1481902757160 5 -2
1481902758494 5 -1
1481902760365 9 2
1481902761900 7 -3
1481902763520 9 1
1481902765264 10 2
1481902766964 0 1
1481902774634 6 2
1481902775769 3 -1
1481902780306 4 1
1481902796912 6 -1
1481902803000 4 -1
1481902806752 3 1
1481902807984 6 -1
1481902809408 0 -1
1481902816492 0 1
1481902818480 6 2
1481902825240 6 -2
1481902826492 0 -1
1481902832900 8 1
1481902836760 10 -2
1481902845477 9 -3
1481902849089 5 3
1481902857172 8 1
1481902859096 3 2
1481902916528 10 -1
1481902932152 0 1
1481902933608 6 1
1481902939169 0 1
1481902942421 7 3
1481902963949 3 1
1481902967232 6 -1
1481902972632 8 -1
1481902975628 8 1
1481902980128 0 -2
1481902982052 5 -3
1481902986884 8 -1
1481902990025 9 2
1481903000449 1 2
1481903002624 4 1
1481903005460 0 1
1481903006998 6 4
1481903014336 9 -2
1481903018748 1 -1
1481903022796 5 2
1481903027936 0 -1
1481903036764 3 -1
1481903040708 5 -1
1481903042732 7 -3
1481903047761 10 1
1481903048738 5 1
1481903049896 7 3
1481903053340 10 -1
1481903054305 0 1
1481903055148 5 -1
1481903056984 1 1
1481903059596 0 -1
1481903061984 0 1
1481903066028 0 -1
1481903074432 7 -3
