1480087799123 R
1480087947421 11 2
1480087948742 12 2
1480087952118 3 -1
1480087954126 5 1
1480087956046 9 2
1480087957211 5 1
1480087967154 1 1
1480087970765 3 2
1480087972716 2 -1
1480087973989 0 -1
1480087984189 5 -2
1480087989071 12 -3
1480087990860 9 -1
1480087993869 8 1
1480087996787 10 -1
1480088001373 3 -1
1480088002589 1 -1
1480088003774 9 -1
1480088005444 11 -2
1480088006777 8 1
1480088011604 10 2
1480088014068 6 1
1480088015988 12 2
1480088017476 5 1
1480088019161 12 -1
1480088023524 0 1
1480088024716 0 -1
1480088026980 5 -1
1480088028812 12 -1
1480088039197 4 -1
1480088041204 0 1
1480088052788 12 2
1480088053987 11 1
1480088056364 9 1
1480088057548 1 1
1480088058868 5 1
1480088060139 3 1
1480088064011 4 1
1480088067140 0 -1
1480088071091 3 -1
1480088072214 1 -1
1480088073368 9 -1
1480088074835 11 -1
1480088075715 12 -1
1480088080067 6 -1
1480088081307 0 1
1480088082995 10 -1
1480088084971 2 1
1480088086419 3 -1
1480088088483 1 -1
