1482769434987 R
1482769440198 0 -1
1482769444229 4 -1
1482769444994 11 -1
1482769448794 1 1
1482769450722 1 -1
1482769451282 0 1
1482769451986 2 -1
1482769455866 2 1
1482769456698 0 -1
1482769459514 5 -1
1482769461602 5 1
1482769466154 6 -1
1482769467338 R
1482769477585 2 -1
1482769481114 2 1
1482769482025 4 -1
1482769483241 11 -1
1482769484513 1 1
1482769485937 2 -1
1482769491354 2 1
1482769492146 1 -1
1482769493146 9 1
1482769496969 11 1
1482769498009 6 -2
1482769498897 11 -2
1482769499345 7 -1
1482769504912 5 -1
1482769507489 0 1
1482769509296 1 3
1482769510345 8 -1
1482769510923 1 -1
1482769512153 0 -1
1482769515265 8 1
1482769516584 1 -2
1482769517824 0 1
1482769520273 0 -1
1482769523793 11 2
1482769525096 11 -2
1482769530977 0 1
1482769532040 1 2
1482769533240 8 -1
1482769547065 R
1482769560794 6 -1
1482769561459 7 -1
1482769561993 5 -1
1482769562657 4 -1
1482769563345 11 -1
1482769564873 1 3
1482769567073 8 -1
1482769568577 8 1
1482769569041 8 -1
1482769569553 3 4
1482769570802 2 1
1482769571457 8 1
1482769572123 0 -1
1482769573466 8 -2
1482769574985 10 -2
1482769575881 1 -1
1482769578225 3 -3
1482769579282 5 3
1482769585489 5 -3
1482769587297 1 1
1482769588001 10 2
1482769589321 3 3
1482769590274 8 2
1482769590801 1 -4
1482769592025 8 -2
1482769592473 10 -2
1482769593401 3 -3
1482769594597 7 3
1482769595393 5 3
1482769597058 6 2
1482769599369 6 -2
1482769600041 11 1
1482769600537 6 2
1482769601257 4 3
1482769602329 11 -1
1482769603145 6 -2
1482769604585 6 2
1482769607864 8 -2
1482769612872 0 1
1482769614376 1 2
1482769615344 2 -2
1482769615888 1 -1
1482769617281 11 1
1482769618216 11 -1
1482769619313 2 2
1482769620001 1 -1
1482769652696 0 -1
1482769653536 1 2
1482769654272 1 -2
1482769655023 U
1482769655584 U
1482769657880 U
1482769659056 1 2
1482769660031 2 -2
1482769660680 10 -1
1482769661512 3 -1
1482769662223 1 -1
1482769663199 11 3
1482769663832 0 4
