1480936031762 R
1480936034325 8 1
1480936035902 R
1480936047502 4 -1
1480936051150 11 -3
1480936051981 2 -1
1480936052624 1 1
1480936054642 1 -1
1480936057907 2 3
1480936060734 11 3
1480936061290 3 -1
1480936062828 0 -1
1480936063572 1 -2
1480936065715 1 2
1480936068219 0 1
1480936069721 2 -2
1480936072109 8 1
1480936072582 4 1
1480936077339 0 -1
1480936078281 1 -2
1480936078912 6 -2
1480936079715 12 2
1480936080505 9 2
1480936081722 7 3
1480936082441 1 -1
1480936083741 9 -1
1480936084325 0 1
1480936085024 11 -2
1480936087630 6 -1
1480936088037 2 -1
1480936088946 9 1
1480936094663 6 1
1480936095077 2 1
1480936096221 11 2
1480936099439 0 -1
1480936101207 9 -1
1480936102559 0 1
1480936104023 5 -4
1480936104841 8 1
1480936105245 4 1
1480936105869 9 1
1480936106393 4 2
1480936109756 8 -1
1480936112949 9 -1
1480936113551 5 4
1480936115056 0 -1
1480936116068 1 2
1480936116656 7 -3
1480936117752 1 -1
1480936118841 9 -1
1480936119300 8 -1
1480936126510 9 1
1480936127586 5 -4
1480936128492 9 -1
1480936129154 10 -2
1480936129695 4 -3
1480936130308 12 -2
1480936131058 6 3
1480936131628 2 3
1480936132870 1 3
1480936133538 12 2
1480936134461 0 2
1480936136105 4 -1
1480936138784 0 1
1480936139952 1 -3
1480936140946 12 -1
1480936141565 2 -3
1480936146844 12 1
1480936149042 5 3
1480936152316 11 -1
1480936153457 1 2
1480936154551 3 1
1480936155191 11 -2
1480936156479 1 -1
1480936156993 2 -1
1480936158440 1 2
1480936158962 5 -3
1480936160562 0 -1
1480936166776 0 -1
1480936167395 1 -1
1480936168087 12 -1
1480936168849 12 -1
1480936169344 6 -1
1480936169959 10 2
1480936170845 8 2
1480936171820 4 2
1480936175969 1 1
1480936181337 4 -2
1480936182167 8 -2
1480936183909 10 -2
1480936184341 6 1
1480936185042 12 2
1480936185517 0 2
1480936190641 5 3
1480936191360 11 2
1480936191984 3 -1
1480936193093 5 -2
1480936213363 5 2
1480936214491 5 -2
1480936215528 5 1
1480936216824 5 1
1480936217521 1 -3
1480936218169 5 -2
1480936222195 12 -1
1480936224170 2 4
1480936227417 2 -4
1480936229137 12 1
1480936230724 5 2
1480936233018 1 2
1480936234063 0 -1
1480936236344 1 1
1480936237019 5 -2
1480936241928 0 -1
1480936242683 12 -2
1480936243306 6 -1
1480936244008 10 2
1480936252881 0 -1
1480936254222 0 1
1480936254859 11 -1
1480936264935 4 2
1480936265740 8 2
1480936269028 11 1
1480936269781 0 -1
1480936271238 4 -2
1480936271768 8 -2
1480936273550 10 -2
1480936274577 6 1
1480936282478 12 2
1480936283572 5 2
1480936284967 0 3
1480936285548 1 -3
1480936286327 5 -2
1480936290626 5 2
1480936310627 R
1480936324234 4 -1
1480936327205 3 -1
1480936327721 0 -1
1480936328993 1 -2
1480936329903 6 -2
1480936331267 12 2
1480936333597 5 -4
1480936335484 9 2
1480936337968 4 4
1480936339352 9 -2
1480936340298 5 4
1480936341236 1 1
1480936342181 9 2
1480936342945 7 2
1480936343820 3 3
1480936346165 1 -1
1480936347932 11 -1
1480936349701 11 1
1480936351674 1 1
1480936352170 3 -3
1480936352637 7 -2
1480936353387 9 -2
1480936354196 1 -1
1480936358587 12 -2
1480936359378 6 1
1480936361695 6 -1
1480936362826 12 2
1480936363383 5 -4
1480936364646 12 -2
1480936365317 6 1
1480936366531 1 1
1480936367160 6 -1
1480936368547 4 -2
1480936369566 10 -2
1480936370149 6 3
1480936372092 6 -1
1480936372838 1 1
1480936373642 0 1
1480936375103 6 1
1480936375998 12 1
1480936376846 0 1
1480936378532 4 -2
1480936379425 0 1
1480936380428 1 -2
1480936381005 12 1
1480936385654 12 -1
1480936387347 2 3
1480936388168 12 1
1480936391119 12 -1
1480936394777 1 2
1480936396868 0 -2
1480936399710 12 -1
1480936400713 0 -1
1480936401554 1 -2
1480936402268 6 -3
1480936403071 2 -3
1480936404232 12 2
1480936406274 10 2
1480936410261 12 -2
1480936411331 6 2
1480936412320 1 2
1480936415068 1 -1
1480936415788 6 -2
1480936416441 12 2
1480936417452 9 2
1480936420574 1 -1
1480936421129 9 -2
1480936421972 5 4
1480936423239 1 1
1480936423828 1 -1
1480936424378 5 -4
1480936428793 R
1480936436414 0 -1
1480936437278 3 -1
1480936438157 1 -2
1480936438905 6 -2
1480936439547 12 2
1480936441284 9 2
1480936442032 7 2
1480936446315 1 1
1480936446850 3 2
1480936448300 11 -1
1480936449780 2 -1
1480936455606 3 -2
1480936456102 1 -1
1480936456587 9 -1
1480936458586 12 -1
1480936459871 2 3
1480936460762 11 1
1480936466137 8 1
1480936466683 7 -2
1480936468828 7 3
1480936470531 7 -1
1480936471164 8 -1
1480936472964 1 1
1480936473537 3 1
1480936477541 7 -1
1480936478218 7 1
1480936478625 3 -1
1480936480001 1 -1
1480936480707 2 -2
1480936481386 12 1
1480936483473 7 -1
1480936484149 4 -1
1480936486371 1 1
1480936487162 9 1
1480936487907 7 -1
1480936488861 1 -1
1480936489422 9 -2
1480936492463 12 -2
1480936494796 1 1
1480936495478 1 -1
1480936496109 6 2
1480936497129 2 2
1480936498239 1 3
1480936500063 0 1
1480936510069 0 -1
1480936514817 R
1480936520649 2 2
1480936521555 1 1
1480936523253 3 -1
1480936525037 4 -1
1480936527559 0 -1
1480936528519 1 -3
1480936529162 6 -2
1480936529777 2 -2
1480936533205 12 2
1480936533981 5 -4
1480936537786 1 1
1480936538359 9 2
1480936539229 4 2
1480936540397 8 2
1480936541465 7 3
1480936542629 3 4
1480936544308 1 -2
1480936545682 9 -1
1480936546765 0 1
1480936547731 4 2
1480936548692 9 1
1480936549411 3 -1
1480936550260 8 -1
1480936551187 4 -2
1480936552068 10 -1
1480936555000 5 1
1480936555830 11 -4
1480936556444 5 -1
1480936556954 6 -1
1480936557426 2 -1
1480936560894 10 1
1480936561439 4 2
1480936562243 8 1
1480936562703 3 1
1480936563461 9 -1
1480936566427 11 1
1480936568062 11 -1
1480936569883 0 -1
1480936573582 1 4
1480936574235 7 -2
1480936578930 0 1
1480936580252 11 1
1480936580632 7 -1
1480936581295 9 -1
1480936583670 0 2
1480936585764 5 3
1480936586427 11 1
1480936589971 11 -1
1480936590602 5 -3
1480936594835 0 -2
1480936597965 9 2
1480936598981 3 -3
1480936599638 9 -2
1480936600712 8 -2
1480936601211 0 5
