1480935413758 R
1480935420219 4 -1
1480935425201 11 -1
1480935425790 11 -2
1480935427289 2 -1
1480935428699 1 1
1480935438699 1 -1
1480935441252 R
1480935443619 4 -1
1480935448907 2 2
1480935450095 1 1
1480935455213 3 -1
1480935456355 0 -1
1480935457689 1 -3
1480935459447 6 -2
1480935460271 2 -2
1480935461759 12 2
1480935463849 9 2
1480935464705 4 1
1480935465337 8 1
1480935466609 7 3
1480935467827 9 -1
1480935468443 1 -1
1480935472537 5 -4
1480935474295 4 3
1480935490665 1 1
1480935493679 7 -3
1480935495304 7 3
1480935497225 1 -1
1480935498336 9 1
1480935499407 8 1
1480935500671 9 -1
1480935501665 0 1
1480935502991 8 -1
1480935505643 5 4
1480935507650 9 1
1480935511388 R
1480935514887 4 -1
1480935519791 11 -1
1480935520647 2 -1
1480935522095 1 1
1480935522843 1 -1
1480935524347 3 -1
1480935525319 0 -1
1480935526721 1 -2
1480935527963 6 -2
1480935528865 12 2
1480935530755 5 -3
1480935535249 4 4
1480935537369 5 3
1480935540939 12 -2
1480935542250 6 1
1480935543700 6 -1
1480935551379 12 2
1480935552613 9 2
1480935553669 7 2
1480935555735 7 -2
1480935557022 R
1480935559235 11 -1
1480935560947 2 -1
1480935562066 1 1
1480935563391 0 -1
1480935564361 3 -1
1480935566050 1 -3
1480935567391 6 -2
1480935568712 12 2
1480935570961 5 -3
1480935573359 4 3
1480935574715 5 3
1480935580260 1 1
1480935580924 9 2
1480935581569 7 2
1480935582997 1 -1
1480935583667 9 -1
1480935584931 12 -1
1480935586357 2 2
1480935587259 11 1
1480935589504 11 -1
1480935590205 2 -2
1480935591631 12 1
1480935592844 5 -3
1480935595818 8 2
1480935596673 7 1
1480935597800 1 -1
1480935598663 0 1
1480935600837 5 2
1480935603906 11 -1
1480935604692 6 -1
1480935606041 5 -2
1480935612858 9 1
1480935619320 6 1
1480935620035 2 1
1480935620860 11 2
1480935621764 5 -1
1480935624346 9 -1
1480935629312 0 -1
1480935630006 9 1
1480935631092 1 2
1480935632064 7 -3
1480935633752 1 -1
1480935634962 R
1480935638578 4 -1
1480935642178 2 2
1480935643372 1 1
1480935645524 1 -1
1480935647036 2 -2
1480935657936 11 -3
1480935659046 2 -1
1480935662908 1 1
1480935664690 1 -1
1480935666486 4 1
1480935667018 8 1
1480935670788 11 1
1480935671644 R
1480935676848 11 -1
1480935677634 2 -1
1480935679454 11 -2
1480935683570 1 1
1480935685360 4 -1
1480935694434 11 1
1480935696538 11 1
1480935697340 0 -1
1480935698226 1 -2
1480935698882 6 -2
1480935699884 12 2
1480935701542 3 -1
1480935703222 9 2
1480935704610 7 1
1480935705142 4 1
1480935705850 8 1
1480935707000 7 2
1480935709212 1 -2
1480935711834 0 1
1480935712958 11 -1
1480935713976 6 -1
1480935716722 9 -1
1480935717962 5 -3
1480935719742 4 3
1480935729442 5 2
1480935730428 6 1
1480935731200 2 1
1480935731970 11 2
1480935732588 0 -1
1480935734044 1 2
1480935735348 5 1
1480935736026 9 1
1480935738238 7 -2
1480935739026 8 -1
1480935740298 7 1
1480935742078 1 -1
1480935742802 9 -1
1480935743650 5 -4
1480935745632 9 1
1480935747174 1 1
1480935764066 3 3
1480935765378 8 2
1480935765894 7 1
1480935767066 1 -2
1480935768616 0 1
1480935770628 3 1
1480935771730 9 -1
