1481836408787 R
1481836409879 R
1481836410745 R
1481836413343 0 -1
1481836417877 1 -1
1481836418957 6 -2
1481836421758 12 2
1481836422883 5 -1
1481836424435 4 -1
1481836426573 5 1
1481836430297 3 -1
1481836431084 1 -1
1481836432207 5 -4
1481836442818 12 -2
1481836449016 12 2
1481836449974 4 4
1481836451795 1 1
1481836452909 9 2
1481836455192 9 -1
1481836456420 7 2
1481836457802 1 -1
1481836459625 7 -2
1481836465328 8 1
1481836467612 8 1
1481836468850 7 3
1481836470009 1 -1
1481836471482 9 1
1481836473259 9 -1
1481836479132 1 1
1481836479919 7 -3
1481836481101 9 -1
1481836482698 12 -2
1481836483567 4 -2
1481836484307 6 2
1481836485049 2 2
1481836486152 1 3
1481836488683 0 1
1481836490776 1 -1
1481836491732 2 -2
1481836495073 4 -2
1481836495680 8 -1
1481836496515 10 -1
1481836497301 8 -1
1481836500248 3 1
1481836502498 4 2
1481836505040 R
1481836506897 R
1481836510546 0 -1
1481836512859 11 -1
1481836515806 2 -1
1481836516720 1 1
1481836529587 3 -1
1481836533772 4 -1
1481836536371 1 -1
1481836537923 1 -1
1481836538801 6 -2
1481836542161 12 2
1481836545225 5 -1
1481836546890 5 1
1481836549410 1 -1
1481836550433 5 -3
1481836552455 4 4
1481836559658 9 2
1481836560817 7 2
1481836562381 8 2
1481836563461 7 1
1481836564473 1 -1
1481836571302 9 -1
1481836574069 8 -1
1481836576792 0 1
1481836577838 11 -1
1481836578704 6 -1
1481836580864 5 3
1481836585476 9 1
1481836592440 9 -1
1481836594184 6 1
1481836594983 2 1
1481836596096 11 2
1481836597154 0 -1
1481836598211 1 2
1481836600958 3 1
1481836602284 11 -1
1481836603544 12 -1
1481836604534 2 -1
1481836605681 12 1
1481836607380 7 -3
1481836608257 9 -1
1481836610046 8 -1
1481836613635 12 -2
1481836615210 6 1
1481836616863 6 -1
1481836617693 12 2
1481836622072 9 2
1481836623287 3 2
1481836624088 1 -1
1481836625166 7 2
1481836626460 8 1
1481836627236 7 1
1481836627969 1 -1
1481836628766 0 1
1481836633974 11 -3
1481836634919 6 -1
1481836637563 0 -1
1481836638534 1 4
1481836640533 7 -2
1481836643031 3 -2
1481836644246 9 -1
1481836645283 7 2
1481836648644 5 -4
1481836655282 8 1
1481836656227 9 1
1481836658872 7 -2
1481836659861 8 -1
1481836661953 9 -1
1481836663530 7 2
1481836670401 7 -2
1481836672055 7 1
1481836676645 9 1
1481836677736 3 2
1481836680987 0 1
1481836681946 3 -2
1481836683092 9 -1
1481836684385 7 -1
1481836686545 8 -1
1481836691022 5 4
1481836692586 9 1
1481836695680 9 -1
1481836696266 5 -4
1481836699010 9 1
1481836700236 7 1
1481836702194 4 -3
1481836705804 4 3
1481836708426 9 -1
1481836711621 11 1
1481836712779 7 -2
1481836714422 9 -1
1481836896864 0 4
