1480917395544 R
1480917395736 R
1480917396262 R
1480917396454 R
1480917645316 11 -3
1480917675448 2 -1
1480917680792 1 1
1480917698638 1 -1
1480917719381 1 1
1480917725566 1 -1
1480917733064 2 3
1480917735146 1 1
1480917740312 11 3
1480917756046 3 -1
1480917758895 0 -1
1480917763745 1 -3
1480917765444 1 3
1480917768788 1 -3
1480917771334 6 -2
1480917773182 2 -2
1480917775214 12 2
1480917785704 5 -1
1480917788029 5 -3
1480917790838 4 3
1480917798446 9 2
1480917800831 7 2
1480917803639 8 2
1480917804852 7 1
1480917807681 1 -1
1480917814267 0 1
1480917815894 9 -1
1480917817976 8 -1
1480917824320 0 -1
1480917825857 1 2
1480917828644 7 -3
1480917831290 9 -1
1480917833626 1 -1
1480917838889 U
1480917840767 R
1480917843709 3 -1
1480917845306 11 -1
1480917850910 11 -1
1480917853548 2 -1
1480917856366 1 1
1480917868450 4 -1
1480917882595 1 -1
1480917896990 11 1
1480917899638 0 -1
1480917901961 1 -2
1480917904284 6 -2
1480917907598 12 2
1480917912366 1 1
1480917914760 1 -1
1480917922994 12 -2
1480917924358 2 3
1480917926863 6 2
1480917928731 1 3
1480917947004 R
1480917958418 3 -1
1480917960914 11 -2
1480917963166 2 -1
1480917974318 1 1
1480917999719 4 -1
1480918008973 1 -1
1480918027579 11 1
1480918030205 0 -1
1480918032772 1 1
1480918039002 1 -3
1480918040396 6 -2
1480918042135 12 2
1480918046154 5 -3
1480918048811 9 2
1480918051406 9 -2
1480918056234 4 4
1480918059750 9 2
1480918062577 7 2
1480918068013 9 -1
