1481909526785 R
1481909530053 6 -2
1481909531999 8 -1
1481909533089 4 -2
1481909535582 8 1
1481909540295 8 -1
1481909541241 7 -1
1481909542412 1 1
1481909544274 1 -1
1481909546439 R
1481909553890 4 1
1481909556177 0 1
1481909558827 0 -1
1481909567862 6 -2
1481909572272 8 -1
1481909573668 0 3
1481909574559 4 -2
1481909574815 4 -1
1481909576268 2 1
1481909577140 5 -3
1481909577998 2 -1
1481909578733 4 3
1481909582635 0 -2
1481909583975 1 1
1481909584825 8 1
1481909585792 10 -2
1481909586626 1 -2
1481909591086 7 1
1481909592394 8 1
1481909595965 10 1
1481909596735 6 1
1481909597845 5 -1
1481909598775 0 -1
1481909599647 4 -2
1481909601756 8 -1
1481909602497 9 -1
1481909603569 3 -4
1481909604720 9 1
1481909605594 7 -1
1481909606694 1 3
1481909609915 10 1
1481909610837 8 -1
1481909712654 4 2
1481909716316 8 1
1481909719979 6 1
1481909720561 R
1481909726726 4 1
1481909729517 6 -2
1481909730565 0 1
1481909731993 0 -1
1481909734478 10 -2
1481909735526 1 -1
1481909736957 7 1
1481909738855 9 -1
1481909739740 9 1
1481909741764 10 1
1481909743871 4 -3
1481909748415 2 2
1481909751585 R
1481909753384 6 -2
1481909754080 8 -1
1481909755070 4 -2
1481909755982 4 3
1481909757199 0 3
1481909758409 4 -3
1481909760946 1 1
1481909761343 1 -1
1481909763182 4 3
1481909764686 6 1
1481909766189 4 -2
1481909766760 6 -1
1481909767390 4 -1
1481909768198 2 1
1481909768974 5 -3
1481909769723 2 -1
1481909771759 4 3
1481909774136 0 -2
1481909774926 8 1
1481909775645 10 -2
1481909776290 1 -1
1481909786547 7 1
1481909787904 9 -1
1481909788686 3 -1
1481909790382 10 1
1481909804660 6 1
1481909805508 5 -1
1481909806622 0 -1
1481909809627 4 -1
1481909810572 4 -1
1481909811678 3 -3
1481909812514 9 1
1481909813895 8 1
1481909814574 4 2
1481909816731 8 -1
1481909817970 7 -1
1481909818587 1 3
1481909820453 10 1
1481909821255 8 -1
1481909822240 0 5
