1482426811656 R
1482426816609 5 -2
1482426817672 2 1
1482426824445 8 1
1482426825460 7 1
1482426826513 3 -1
1482426830001 10 2
1482426832260 4 2
1482426834449 0 1
1482426837605 6 -2
1482426839597 6 2
1482426846055 6 -2
1482426854361 R
1482426860195 5 -2
1482426861844 2 1
1482426865968 1 -2
1482426867311 3 2
1482426872385 3 -2
1482426875002 1 2
1482426879926 1 -2
1482426880796 3 2
1482426886605 8 1
1482426889874 7 1
1482426909244 3 -3
1482426912145 10 2
1482426917438 1 2
1482426918905 4 2
1482426921301 0 1
1482426922831 6 -2
1482426927505 5 2
1482426928659 6 3
1482426930196 0 -1
1482426932532 4 -2
1482426933965 10 -3
1482426935554 4 2
1482426951581 3 1
1482426952744 7 -1
1482426953751 8 -1
1482426954861 2 -1
1482426956598 5 1
1482426957687 4 1
1482427023122 0 1
1482427024761 10 1
1482427029348 6 -2
1482427036738 6 2
1482427038119 0 -1
1482427038987 10 -1
1482427040345 4 -3
1482427041807 10 1
1482427043869 6 -1
1482427048627 5 -2
1482427050132 2 1
1482427055320 6 1
1482427061093 8 1
1482427061791 7 1
1482427063296 3 -1
1482427067419 3 1
1482427080692 3 -1
1482427083898 10 2
1482427085232 4 2
