1481987135081 R
1481987136641 2 1
1481987138314 1 -2
1481987139009 5 -2
1481987139778 3 2
1481987142122 8 1
1481987147025 7 1
1481987149289 9 1
1481987150122 9 -1
1481987155737 3 -3
1481987157337 10 2
1481987158137 1 2
1481987163561 4 2
1481987166218 5 2
1481987167436 5 -2
1481987187682 5 2
1481987196770 6 1
1481987197713 0 1
1481987199170 6 -3
1481987204625 5 -2
1481987214089 R
1481987216682 6 1
1481987217482 10 -1
1481987218435 4 2
1481987219346 0 1
1481987226234 5 1
1481987228769 4 1
1481987229657 10 1
1481987231034 6 -3
1481987232289 10 -1
1481987240674 4 -1
1481987260073 5 -3
1481987260866 5 3
1481987263145 5 -3
1481987266106 5 3
1481987268572 4 1
1481987280977 4 -1
1481987283658 R
1481987285257 6 1
1481987285977 1 -2
1481987286609 5 1
1481987288586 3 1
1481987291009 5 -1
1481987292153 2 1
1481987293201 8 1
1481987293865 7 1
1481987297833 9 1
1481987299073 9 -1
1481987300041 3 -2
1481987301385 10 2
1481987303681 1 2
1481987304697 4 2
1481987305545 0 1
1481987306518 6 -3
1481987307849 5 -2
1481987308802 5 2
1481987309906 5 -2
1481987311322 R
1481987314217 6 1
1481987314985 10 -1
1481987315793 4 2
1481987316594 0 1
1481987323482 5 1
1481987324275 4 1
1481987324892 10 1
1481987325818 6 -3
1481987326906 10 -1
1481987329073 4 -1
1481987330009 5 -3
1481987330833 2 1
1481987331713 8 1
1481987333554 7 1
1481987334337 9 1
1481987335235 6 -1
1481987340321 0 -1
1481987342619 4 -2
1481987345889 1 -3
1481987347777 4 2
1481987349689 3 2
1481987351234 0 2
1481987352210 6 1
1481987352880 9 -1
1481987353537 7 -1
1481987354282 8 -1
1481987354882 0 3
