1482879156255 R
1482879569747 5 2
1482879581471 10 -2
1482879589214 7 2
1482879605366 7 -2
1482879611783 1 -2
1482879618884 2 2
1482879622868 10 3
1482879628867 4 -1
1482879633365 2 -2
1482879639668 3 2
1482879643415 10 -3
1482879651002 3 1
1482879658301 1 2
1482879677651 7 2
1482879682169 9 3
1482879686133 6 -1
1482879696088 0 2
1482879699353 7 -1
1482879707668 8 1
1482879723653 7 1
1482879733968 9 -1
1482879744235 7 -1
1482879754796 8 -1
1482879769855 7 1
1482879774374 5 -4
1482879780972 7 -1
1482879792135 1 -1
1482879803062 0 -2
1482879808592 6 1
1482879823612 9 -2
1482879828294 7 -1
1482879832705 3 -3
1482879840775 1 1
1482879846454 2 1
1482879851660 4 3
1482879868342 2 -1
1482879874644 6 1
1482879899045 6 -1
1482879909287 4 -3
1482879915044 3 3
1482879921580 9 1
1482879930306 5 4
1482879939365 7 2
1482879944165 9 -1
1482879947663 9 3
1482879952247 6 -1
1482879963700 7 -1
1482879966297 9 -1
1482879971119 7 1
1482879977350 0 2
1482879983113 8 1
1482879993361 0 -1
1482880000257 7 -1
1482880004665 9 1
1482880009987 7 1
1482880014500 0 1
1482880020585 8 -1
1482880028368 7 -1
1482880031868 9 -1
1482880038535 0 -1
1482880048786 0 1
1482880054891 7 1
1482880063006 9 1
1482880069837 8 1
1482880074330 0 -1
1482880078575 7 -1
1482880083614 9 -1
1482880088170 8 -1
1482880094255 3 -2
1482880106125 1 -1
1482880111170 5 -4
1482880122656 10 4
1482880128256 3 1
1482880133172 3 1
1482880143254 5 1
1482880151290 5 2
1482880164508 8 1
1482880168933 9 1
1482880177015 3 -3
1482880181455 10 -4
1482880186676 1 1
1482880190758 5 1
1482880195592 7 1
1482880201663 3 3
1482880215914 9 -1
1482880219828 7 -1
1482880225709 8 -1
1482880231101 0 1
1482880235929 7 1
1482880242261 8 1
1482880250354 R
1482880267100 4 1
1482880271614 5 2
1482880277448 4 1
1482880283170 6 1
1482880287978 2 1
1482880295913 6 -1
1482880300946 4 -3
1482880309997 10 -2
1482880319269 2 -1
1482880324448 3 3
1482880331565 9 1
1482880341665 7 2
1482880348964 9 2
1482880352830 7 -1
1482880357350 9 -3
1482880364083 7 -1
1482880369734 3 -3
1482880375886 4 3
1482880380290 2 1
1482880388405 2 -1
1482880408340 2 1
1482880418256 6 1
1482880428149 2 -1
1482880443648 10 2
1482880451814 7 1
1482880457552 6 -1
1482880461771 4 -3
1482880468039 3 2
1482880474356 9 3
1482880480478 6 -1
1482880487963 10 -2
1482880494141 3 1
1482880500313 7 1
1482880505246 0 1
1482880513461 0 1
1482880518250 9 -1
1482880525974 8 1
1482880531681 0 -1
1482880535992 9 1
1482880540391 7 -1
1482880550959 7 1
1482880559927 8 -1
1482880566243 0 1
1482880570100 9 -1
1482880573948 7 -1
1482880581863 8 1
1482880589057 0 -1
1482880595412 7 1
1482880603719 3 -2
1482880612764 2 1
1482880624182 10 2
1482880630531 8 -1
1482880640184 7 -1
1482880645762 2 -1
1482880650262 3 1
1482880654017 10 -2
1482880659432 3 1
1482880664382 7 1
1482880670351 0 1
1482880676703 9 1
1482880689048 0 -2
1482880693633 6 1
1482880699952 7 -1
1482880704154 9 -2
1482880710952 9 -1
1482880715592 7 -1
1482880726001 3 -3
1482880734316 4 3
