1479918565298 R
1479918566962 5 -2
1479918568207 8 -1
1479918569553 7 -2
1479918570085 12 -2
1479918571008 4 3
1479918572132 2 1
1479918575344 3 -1
1479918576326 U
1479918577386 1 1
1479918578183 11 -1
1479918580769 3 1
1479918582603 3 -2
1479918584160 R
1479918586573 9 2
1479918587118 10 -1
1479918591199 3 -2
1479918594359 5 -1
1479918594952 7 -1
1479918595361 12 -1
1479918596132 4 3
1479918597382 2 1
1479918598087 1 2
1479918598843 11 -1
1479918603741 1 -1
1479918604755 3 3
1479918606438 9 -1
1479918606929 5 -1
1479918607563 0 2
1479918608199 6 1
1479918610769 11 -3
1479918611426 1 -1
1479918613355 1 1
1479918614191 6 -1
1479918615034 0 -2
1479918616149 1 -1
1479918620780 3 -2
1479918623468 R
1479918625577 9 2
1479918626714 10 -1
1479918627904 3 -2
1479918628947 3 3
1479918629670 0 2
1479918634479 8 1
1479918635064 9 -1
1479918635567 5 -2
1479918636777 8 -1
1479918637542 6 1
1479918638131 12 -2
1479918638649 7 -1
1479918640021 6 -1
1479918641131 0 -2
1479918642163 2 -1
1479918642959 3 -2
1479918643670 4 3
1479918644779 2 2
1479918645898 3 2
1479918646598 1 1
1479918647244 11 -1
1479918649518 10 1
1479918650146 9 -1
1479918650653 8 -1
1479918653915 7 -1
1479918654735 3 -2
1479918658598 11 1
1479918659175 1 -1
1479918664294 10 1
1479918664913 3 2
1479918668330 R
1479918736111 R
1479918741051 9 2
1479918742285 3 -2
1479918744503 7 -1
1479918745997 4 2
1479918747965 2 1
1479918748686 10 1
1479918752174 10 -2
1479918756345 5 -1
1479918756714 12 -1
1479918759721 4 1
1479918760733 3 3
1479918762630 0 2
1479918763657 9 -1
1479918764860 5 -1
1479918769913 1 1
1479918773158 11 -4
1479918775119 1 -1
1479918777493 0 -2
1479918778850 2 -2
1479918779511 3 -2
1479918780396 4 -4
1479918781335 7 1
1479918782069 12 1
1479918782721 3 2
1479918783475 2 2
1479918784693 5 2
1479918786112 10 2
1479918787414 9 -1
1479918788070 8 -1
1479918799342 5 -2
1479918800397 3 -2
1479918801409 7 -2
1479918801777 12 -2
1479918802266 10 -1
1479918803252 1 1
1479918804441 3 2
1479918805304 7 2
1479918806059 8 2
1479918806586 9 1
1479918807102 10 -1
1479918807942 0 2
1479918808512 11 3
1479918811047 0 -2
1479918814020 0 2
1479918815603 6 1
1479918817911 12 2
1479918819379 5 2
1479918819786 9 1
1479918820978 11 -3
1479918822286 1 -1
1479918822645 2 -1
1479918823057 4 1
1479918824725 8 -1
1479918826120 5 -1
1479918826960 9 -1
1479918827364 5 -1
1479918827995 12 -2
1479918829376 8 1
1479918831127 11 1
1479918833542 4 -1
1479918833966 2 1
1479918834790 1 1
1479918835369 11 2
1479918835827 6 -1
1479918836311 0 -2
1479918839207 8 -1
1479918844122 0 2
1479918849587 11 -3
1479918850209 1 -1
1479918850574 2 -1
1479918851909 4 1
1479918854123 0 -1
1479918854708 3 -2
1479918855954 7 -1
1479918856552 4 3
1479918857320 2 1
1479918857884 1 1
1479918858520 11 4
1479918861181 3 2
1479918861687 0 1
1479918864068 6 1
1479918864789 1 -1
1479918866734 2 -1
1479918869657 6 -1
1479918870872 0 -1
1479918872901 0 -1
1479918873498 10 1
1479918874014 9 -1
1479918874684 3 -2
1479918875419 2 1
1479918877332 8 -1
1479918878357 3 2
1479918884827 10 1
1479918885358 8 1
1479918885772 9 1
1479918887394 12 1
1479918887785 5 1
1479918888185 9 1
1479918888900 3 -3
1479918889902 10 -2
1479918892681 1 2
1479918893999 0 1
1479918898032 11 -4
1479918899567 1 -2
1479918900291 3 3
1479918900945 0 1
1479918901599 6 1
1479918905418 1 1
1479918907569 1 -1
1479918908603 9 -1
1479918909222 5 -1
1479918910333 12 -1
1479918911136 2 -1
