1481201944098 R
1481201948263 3 2
1481201949990 6 1
1481201951171 0 3
1481201951855 8 2
1481201953243 7 -1
1481201979616 8 -2
1481201980243 7 -1
1481201980965 2 -1
1481201981776 7 1
1481201984882 6 -1
1481201986149 7 -1
1481201987077 5 2
1481201988020 8 1
1481201988745 5 -2
1481201990293 7 1
1481201990926 8 -1
1481201991873 2 1
1481201993010 7 1
1481201994382 0 -2
1481201995032 3 -2
1481201997282 7 -2
1481201998004 2 -2
1481201998559 9 2
1481201999327 1 2
1481202000675 8 1
1481202002104 6 1
1481202003326 7 1
1481202003990 8 3
1481202004917 7 -1
1481202007635 0 -1
1481202008430 5 2
1481202011874 5 -2
1481202012753 0 1
1481202014790 1 -1
1481202015592 9 -1
1481202016270 7 1
1481202016951 8 -4
1481202020497 1 -1
1481202023499 9 -1
1481202025685 2 2
1481202029377 3 2
1481202030709 0 2
1481202031294 7 -1
1481202032238 5 2
1481202034275 5 -2
1481202035620 0 -2
1481202036438 11 2
1481202037188 10 -1
1481202038254 11 -1
1481202039553 6 -2
1481202040651 3 -2
1481202041810 7 2
1481202042619 8 2
1481202044420 3 2
1481202046937 8 -2
1481202047828 6 2
1481202048431 10 1
1481202049216 11 -1
1481202049944 0 2
1481202050954 7 -2
1481202052553 6 -1
1481202053376 4 -1
1481202055202 5 2
1481202057044 5 -2
1481202058063 0 -2
1481202059057 0 -1
1481202059687 5 2
1481202060498 11 2
1481202061166 10 -3
1481202062341 6 -1
1481202063139 11 -2
1481202066077 11 2
1481202070208 4 -1
1481202071085 11 -2
1481202071844 3 -3
1481202072532 2 -2
1481202073104 1 3
1481202073826 9 3
1481202075227 5 2
1481202076202 0 1
1481202076790 7 1
1481202077407 8 4
1481202078191 10 -1
1481202079568 7 -1
1481202084356 7 1
1481202084924 8 -3
1481202085917 7 -1
1481202086543 5 -1
1481202087154 9 -3
1481202092765 9 3
1481202093399 5 1
1481202094253 7 1
1481202094910 8 3
1481202097850 0 -1
1481202098813 7 -1
1481202099737 5 -4
1481202100631 1 -2
1481202101288 9 -2
1481202102675 4 2
1481202103348 3 3
1481202108668 0 1
1481202113035 3 -3
1481202113787 1 1
1481202114483 9 1
1481202117442 1 -1
1481202118095 9 -1
1481202119032 3 3
1481202120351 0 -1
1481202121291 5 2
1481202124910 3 -3
1481202125752 5 -2
1481202126816 7 1
1481202127454 8 -1
1481202128334 9 -1
1481202129737 3 3
1481202133317 9 1
1481202133921 8 1
1481202134422 7 -1
1481202135808 3 -3
1481202137595 0 1
1481202138628 3 3
1481202142898 7 1
1481202143470 8 -3
1481202144042 1 -1
1481202144654 9 -1
1481202145446 2 2
1481202146104 0 4
