1480970856679 R
1480970856679 R
1480970858339 R
1480970858339 R
1480970870691 R
1480970870691 R
1480971008611 R
1480971008611 R
1480971019650 2 1
1480971019650 2 1
1480971021943 1 -1
1480971021943 1 -1
1480971022630 9 -1
1480971022630 9 -1
1480971028031 1 2
1480971028031 1 2
1480971029231 9 3
1480971029231 9 3
1480971033379 6 2
1480971033379 6 2
1480971034422 0 1
1480971034422 0 1
1480971035799 3 -1
1480971035799 3 -1
1480971036551 5 -1
1480971036551 5 -1
1480971037690 5 1
1480971037690 5 1
1480971041263 9 -1
1480971041263 9 -1
1480971042014 10 1
1480971042014 10 1
1480971044418 5 -1
1480971044418 5 -1
1480971046135 10 -2
1480971046135 10 -2
1480971048022 7 1
1480971048022 7 1
1480971048827 8 1
1480971048827 8 1
1480971050186 4 3
1480971050186 4 3
1480971055411 2 -3
1480971055411 2 -3
1480971060470 4 -2
1480971060470 4 -2
1480971061962 8 -1
1480971061962 8 -1
1480971063610 7 -1
1480971063610 7 -1
1480971066850 9 1
1480971066850 9 1
1480971067427 7 1
1480971067427 7 1
1480971069122 8 2
1480971069122 8 2
1480971070263 0 2
1480971070263 0 2
1480971072295 2 3
1480971072295 2 3
1480971073083 4 -1
1480971073083 4 -1
1480971078087 6 -2
1480971078087 6 -2
1480971079195 1 -2
1480971079195 1 -2
1480971086578 2 -2
1480971086578 2 -2
1480971087362 1 -1
1480971087362 1 -1
1480971088087 8 1
1480971088087 8 1
1480971089319 7 -1
1480971089319 7 -1
1480971090198 10 1
1480971090198 10 1
1480971092314 6 1
1480971092314 6 1
1480971098323 5 1
1480971098323 5 1
1480971099926 3 1
1480971099926 3 1
1480971100454 4 1
1480971100454 4 1
1480971113302 3 -1
1480971113302 3 -1
1480971113766 4 -1
1480971113766 4 -1
1480971114422 5 -1
1480971114422 5 -1
1480971115033 10 -1
1480971115033 10 -1
1480971116795 7 1
1480971116795 7 1
1480971124469 R
1480971124469 R
1480971126614 3 -1
1480971126614 3 -1
1480971127194 5 -1
1480971127194 5 -1
1480971128730 10 2
1480971128730 10 2
1480971131533 1 -2
1480971131533 1 -2
1480971132334 9 -1
1480971132334 9 -1
1480971135441 5 1
1480971135441 5 1
1480971136168 6 -1
1480971136168 6 -1
1480971138149 9 2
1480971138149 9 2
1480971141210 1 2
1480971141210 1 2
1480971141934 2 1
1480971141934 2 1
1480971144674 7 -3
1480971144674 7 -3
1480971145362 9 -2
1480971145362 9 -2
1480971147042 10 -2
1480971147042 10 -2
1480971148437 8 2
1480971148437 8 2
1480971149278 6 1
1480971149278 6 1
1480971150706 10 2
1480971150706 10 2
1480971152290 5 -1
1480971152290 5 -1
1480971153058 8 -2
1480971153058 8 -2
1480971154005 10 -3
1480971154005 10 -3
1480971155975 8 2
1480971155975 8 2
1480971157177 1 1
1480971157177 1 1
1480971160750 R
1480971160750 R
1480971163554 1 1
1480971163554 1 1
1480971164529 9 -1
1480971164529 9 -1
1480971166678 9 3
1480971166678 9 3
1480971167573 6 2
1480971167573 6 2
1480971169985 2 1
1480971169985 2 1
1480971173542 6 -2
1480971173542 6 -2
1480971175434 6 2
1480971175434 6 2
1480971178079 9 -1
1480971178079 9 -1
1480971178862 10 1
1480971178862 10 1
1480971180319 3 -1
1480971180319 3 -1
1480971180850 5 -1
1480971180850 5 -1
1480971181810 10 -2
1480971181810 10 -2
1480971183122 0 1
1480971183122 0 1
1480971186818 7 1
1480971186818 7 1
1480971187347 9 1
1480971187347 9 1
1480971189187 8 2
1480971189187 8 2
1480971189846 0 2
1480971189846 0 2
1480971191590 4 3
1480971191590 4 3
1480971194235 2 -3
1480971194235 2 -3
1480971195775 6 -2
1480971195775 6 -2
1480971196615 1 -3
1480971196615 1 -3
1480971198031 8 1
1480971198031 8 1
1480971199443 7 -1
1480971199443 7 -1
1480971200194 10 1
1480971200194 10 1
1480971201170 5 1
1480971201170 5 1
1480971202295 6 -1
1480971202295 6 -1
1480971203270 7 -3
1480971203270 7 -3
1480971206796 8 -1
1480971206796 8 -1
1480971209511 1 3
1480971209511 1 3
1480971212443 7 1
1480971212443 7 1
1480971213082 7 -1
1480971213082 7 -1
1480971215183 6 3
1480971215183 6 3
1480971216063 4 -2
1480971216063 4 -2
1480971217187 5 -1
1480971217187 5 -1
1480971218035 10 -1
1480971218035 10 -1
1480971240091 6 -1
1480971240091 6 -1
1480971241307 1 -3
1480971241307 1 -3
1480971242559 8 1
1480971242559 8 1
1480971245490 10 1
1480971245490 10 1
1480971246387 5 1
1480971246387 5 1
1480971247299 3 1
1480971247299 3 1
1480971247991 2 -1
1480971247991 2 -1
1480971255534 2 1
1480971255534 2 1
1480971256207 3 -1
1480971256207 3 -1
1480971257123 5 -1
1480971257123 5 -1
1480971257843 10 -1
1480971257843 10 -1
1480971259847 U
1480971259847 U
1480971260535 R
1480971260535 R
1480971262923 9 -1
1480971262923 9 -1
1480971263835 1 -2
1480971263835 1 -2
1480971265310 10 2
1480971265310 10 2
1480971268962 3 -1
1480971268962 3 -1
1480971269491 5 -1
1480971269491 5 -1
1480971271202 9 2
1480971271202 9 2
1480971271927 1 2
1480971271927 1 2
1480971272695 2 1
1480971272695 2 1
1480971274086 6 1
1480971274086 6 1
1480971277391 R
1480971277391 R
1480971279215 1 1
1480971279215 1 1
1480971279777 9 2
1480971279777 9 2
1480971280771 6 2
1480971280771 6 2
1480971281379 0 1
1480971281379 0 1
1480971282530 2 -1
1480971282530 2 -1
1480971283303 3 -1
1480971283303 3 -1
1480971284246 5 -1
1480971284246 5 -1
1480971285007 5 1
1480971285007 5 1
1480971287883 9 -1
1480971287883 9 -1
1480971319143 9 1
1480971319143 9 1
1480971323215 2 2
1480971323215 2 2
1480971324591 5 -1
1480971324591 5 -1
1480971325279 10 -1
1480971325279 10 -1
1480971326059 7 1
1480971326059 7 1
1480971327651 8 2
1480971327651 8 2
1480971328387 0 2
1480971328387 0 2
1480971330791 4 3
1480971330791 4 3
1480971333451 6 -2
1480971333451 6 -2
1480971337055 2 -3
1480971337055 2 -3
1480971338155 1 -3
1480971338155 1 -3
1480971339914 8 1
1480971339914 8 1
1480971340783 7 -1
1480971340783 7 -1
1480971341534 10 1
1480971341534 10 1
1480971342255 5 1
1480971342255 5 1
1480971343023 6 -1
1480971343023 6 -1
1480971343923 7 -3
1480971343923 7 -3
1480971351787 8 -1
1480971351787 8 -1
