1480059813221 R
1480059822587 10 -1
1480059824008 7 1
1480059826759 12 1
1480059827744 2 1
1480059829152 1 1
1480059834078 9 -1
1480059843884 9 1
1480059851293 12 -1
1480059853580 7 -1
1480059855068 10 1
1480059857293 3 1
1480059860592 6 1
1480059864437 5 -1
1480059867198 2 1
1480059872315 1 -1
1480059877161 12 -1
1480059879872 6 -1
1480059881108 3 -1
1480059882238 10 -1
1480059883697 7 1
1480059925698 12 2
1480059926870 1 1
1480059932960 12 -1
1480059934698 2 -2
1480059936258 9 -1
1480059940420 5 1
1480059953929 8 -1
1480059955968 11 -1
1480059957436 3 -1
1480059963963 10 -1
1480059965730 5 -1
1480059969605 7 -1
1480059974274 10 2
1480059980486 2 2
1480059986202 10 -2
1480059991170 2 1
1480059994120 2 -3
1480060003942 10 2
1480060005533 5 1
1480060008105 3 2
1480060012793 2 1
1480060016111 9 1
1480060017690 9 -1
1480060019021 2 -1
1480060032088 11 1
1480060033210 6 1
1480060042783 2 1
1480060045444 2 -1
1480060052617 8 1
1480060062853 5 -1
1480060066344 2 2
1480060093564 R
1480060099783 1 1
1480060101769 9 -1
1480060107064 3 1
1480060113062 6 1
1480060120163 8 -1
