1482515263854 R
1482515307665 1 3
1482515309193 6 1
1482515311017 6 -1
1482515311937 1 -3
1482515312873 3 3
1482515313921 5 1
1482515314504 5 -1
1482515315273 4 1
1482515315897 5 1
1482515316569 3 -4
1482515317353 8 1
1482515318049 9 1
1482515319073 2 1
1482515319585 11 1
1482515320409 5 -1
1482515320872 4 -1
1482515321576 1 3
1482515322393 6 3
1482515323185 10 -1
1482515323863 0 2
1482515325655 6 -1
1482515326423 11 -1
1482515327135 9 -1
1482515331551 0 -2
1482515335745 9 1
1482515336513 11 1
1482515336976 6 1
1482515338576 10 1
1482515339312 6 -3
1482515339944 2 -1
1482515340632 6 1
1482515341680 11 -1
1482515343520 6 -1
1482515344536 1 -3
1482515346184 3 2
1482515346880 5 1
1482515348848 4 1
1482515350000 2 1
1482515350392 11 1
1482515351856 2 -1
1482515352344 11 -1
1482515353000 4 -1
1482515353401 5 -1
1482515353783 3 -2
1482515354959 1 3
1482515356289 6 1
1482515357608 2 1
1482515358009 6 1
1482515358576 10 -1
1482515359151 0 2
1482515361304 0 -2
1482515362152 0 1
1482515363407 7 1
1482515364512 7 -1
1482515366616 0 -1
1482515367200 10 1
1482515369120 6 -1
1482515370255 2 -1
1482515374559 6 -1
1482515375169 2 1
1482515375615 11 1
1482515376191 6 3
1482515377223 10 -1
1482515378111 0 2
1482515380055 0 -2
1482515381007 1 -3
1482515383956 5 1
1482515384579 4 1
1482515385203 3 2
1482515385763 0 1
1482515386475 7 4
1482515387227 0 -1
1482515389019 4 -1
1482515389987 3 -1
1482515390699 10 1
1482515391691 1 1
1482515392299 6 -4
1482515393019 2 -1
1482515393498 11 -1
1482515394027 1 -1
1482515394643 10 -1
1482515395291 0 1
1482515397059 0 -1
1482515397979 8 -1
1482515398699 3 2
1482515399922 9 -1
1482515400539 3 1
1482515402867 4 1
1482515403475 7 -1
1482515405651 0 1
1482515406963 7 -1
1482515407651 5 -1
1482515408714 3 -4
1482515410363 7 -1
1482515410939 4 -1
1482515411531 1 3
1482515412682 0 1
1482515413139 8 1
1482515414059 9 1
1482515415026 0 3
