1480579671974 R
1480579675562 1 3
1480579680662 6 1
1480579684396 9 1
1480579686252 8 1
1480579690468 2 1
1480579691572 6 1
1480579693725 10 -1
1480579695207 0 2
1480579711664 0 -2
1480579722809 1 -2
1480579724370 3 1
1480579725944 9 -1
1480579769813 1 1
1480579774120 10 1
1480579775683 6 -2
1480579778076 1 -2
1480579779283 2 -1
1480579780369 8 -1
1480579782960 3 2
1480579789903 1 3
1480579795748 6 1
1480579804745 1 -2
1480579808787 5 1
1480579811361 3 -4
1480579814778 9 1
1480579816462 8 1
1480579821436 5 -1
1480579823398 1 2
1480579829524 6 -1
1480579837569 1 -3
1480579841834 1 3
1480579855263 6 1
1480579861263 2 1
1480579862424 6 1
1480579863566 11 1
1480579865095 6 1
1480579866753 10 -1
1480579869695 0 2
1480579871300 6 -1
1480579878646 7 1
1480579888378 11 -1
1480579892752 7 -1
1480579894519 0 -2
1480579896242 10 1
1480579897649 6 -2
1480579902053 6 1
1480579905566 2 -1
1480579919070 R
1480579924800 1 3
1480579934884 8 1
1480579935686 9 1
1480579940107 6 1
1480579944808 2 1
1480579945914 6 1
1480579948238 10 -1
1480579954463 0 1
1480579955380 0 -1
1480579957872 10 1
1480579964027 11 1
1480579966981 6 1
1480579969045 10 -1
1480579971564 0 2
1480579973588 7 1
1480579975125 7 -1
1480579976551 0 -2
1480579979920 R
1480579985935 3 3
1480579988229 5 1
1480579989720 4 1
1480579991655 3 -4
1480579992966 9 1
1480579993874 8 1
1480579996363 11 1
1480579997881 2 1
1480579999732 4 -1
1480580000798 5 -1
1480580002098 1 3
1480580008148 6 2
1480580012433 6 1
1480580014971 6 -3
1480580019566 1 -2
1480580021740 1 -1
1480580025052 5 1
1480580026837 5 -1
1480580042284 1 3
1480580052903 1 -3
1480580055504 2 -1
1480580057495 11 -1
1480580060891 8 -1
1480580062904 4 1
1480580063724 4 -1
1480580064822 8 1
1480580073726 8 -1
1480580075214 3 3
1480580077656 5 1
1480580078865 4 1
1480580086021 5 -1
1480580086721 4 -1
1480580090530 3 -3
1480580092776 8 1
1480580093996 1 3
1480580098245 6 1
1480580107855 2 1
1480580109168 6 1
1480580110319 10 -1
1480580113654 0 1
1480580115146 7 1
1480580118627 0 1
1480580120036 11 1
1480580121288 6 1
1480580125856 6 -1
1480580126877 11 -1
1480580128888 R
1480580137441 3 3
1480580144318 1 3
1480580151683 6 1
1480580156422 6 -1
1480580158407 1 -3
1480580160354 5 1
1480580161882 4 1
1480580164672 3 -4
1480580167322 8 1
1480580168519 9 1
1480580171938 2 1
1480580173458 11 1
1480580175028 5 -1
1480580176195 4 -1
1480580178611 1 3
1480580191878 6 2
1480580193673 10 -1
1480580199782 10 1
1480580201758 6 -2
1480580205648 11 -1
1480580210132 6 2
1480580212492 10 -1
1480580216083 0 1
1480580218553 7 1
