1479357742457 R
1479357756406 R
1479357764900 3 -1
1479357772785 3 4
1479357778200 4 1
1479357779786 5 1
1479357788617 5 -1
1479357789648 4 -1
1479357794670 3 -4
1479357797836 1 3
1479357798959 8 1
1479357799955 9 1
1479357801256 2 1
1479357802487 11 1
1479357804082 6 3
1479357807496 10 -1
1479357809825 0 2
1479357811272 7 1
1479357814136 6 -1
1479357815097 11 -1
1479357818817 9 -1
1479357822494 0 -1
1479357825845 1 -2
1479357832174 1 2
1479357837404 9 1
1479357843569 1 -2
1479357844945 9 -1
1479357849728 7 -1
1479357859370 7 1
1479357866378 9 1
1479357867524 11 1
1479357868521 6 1
1479357870217 1 -1
1479357875779 7 -1
1479357877647 0 -1
1479357879793 1 3
1479357883322 6 -1
1479357884513 11 -1
1479357888797 0 2
1479357892119 7 1
1479357895189 11 1
1479357895993 11 -1
1479357900296 7 -1
1479357916287 R
1479357928402 3 2
1479357948209 1 1
1479357952641 3 -2
1479357956095 1 2
1479357959267 8 1
1479357960649 9 1
1479357971551 3 -1
1479357977951 6 1
1479357984063 6 -1
1479357995754 8 -1
1479357996835 9 -1
1479357998382 1 -3
1479358002212 1 3
1479358005085 9 1
1479358008012 8 1
1479358016903 3 1
1479358017937 1 -3
1479358019081 8 -1
1479358019993 9 -1
1479358021373 3 3
1479358025993 1 3
1479358033494 6 1
