1482807637374 R
1482807666977 8 -1
1482807674322 3 -1
1482807675130 6 1
1482807676058 1 3
1482807682712 11 2
1482807685464 7 -1
1482807686442 5 -1
1482807695964 12 -1
1482807697081 2 1
1482807705118 1 -2
1482807716094 3 1
1482807736984 3 -1
1482807739179 2 -1
1482807740214 12 1
1482807742238 1 2
1482807743280 6 -1
1482807744752 8 2
1482807746300 11 1
1482807748156 0 -1
1482807752766 8 -1
1482807759246 4 -1
1482807759561 6 -2
1482807760350 1 -2
1482807761328 10 -2
1482807762567 3 2
1482807763770 5 4
1482807770863 5 -1
1482807771833 12 -1
1482807772804 2 1
1482807833337 9 1
1482807835398 7 3
1482807836864 6 -1
1482807838166 0 2
1482807841556 0 -2
1482807848545 0 2
1482807850804 0 -2
1482807853055 6 1
1482807855001 7 -3
1482807860696 3 -2
1482807861560 9 -1
1482807868813 5 -3
1482807880184 5 3
1482807883524 7 1
1482807887893 3 1
1482807889216 3 1
1482807898662 7 1
1482807900467 5 -2
1482807903722 3 -1
1482807905919 7 -2
1482807906858 3 -1
1482807907563 5 -1
1482807909083 1 2
1482807910700 10 2
1482807913070 6 2
1482807921815 0 2
1482807924238 11 -1
1482807927369 8 -1
1482807929905 6 1
1482807940254 0 -1
1482807940383 5 1
1482807942635 7 1
1482807944078 4 1
1482807945327 11 -2
1482807946442 1 -3
1482807954164 5 1
1482807956488 4 1
1482807962361 4 -1
1482807966345 2 -1
1482807968562 12 1
1482807972663 6 -1
1482807981309 6 1
1482807983751 5 -1
