1482781719957 R
1482781730310 6 -2
1482781755008 R
1482781768336 7 -2
1482781777612 6 -2
1482781781237 7 2
1482781786146 6 2
1482781789618 7 -2
1482781797589 7 2
1482781798384 0 1
1482781800014 10 4
1482781803354 3 -1
1482781804962 5 -1
1482781805674 9 -2
1482781808370 7 -1
1482781809129 7 1
1482781809986 4 -2
1482781811354 8 -1
1482781812352 6 2
1482781815784 7 -1
1482781816805 10 -2
1482781819286 7 1
1482781820862 6 -4
1482781822160 8 1
1482781823166 4 2
1482781824882 9 2
1482781825886 3 1
1482781826459 5 1
1482781827278 10 -2
1482781833834 7 -1
1482781835254 6 2
1482781838424 10 4
1482781839088 5 -1
1482781839911 3 -1
1482781842204 0 -1
1482781842948 7 1
1482781845412 9 -2
1482781847924 4 -2
1482781848481 7 -2
1482781849199 8 -3
1482781849826 1 2
1482781850544 6 2
1482781852492 4 2
1482781853837 4 -2
1482781854889 8 1
1482781856397 8 -1
1482781857532 1 -2
1482781858205 4 2
1482781859427 4 -2
1482781860431 8 2
1482781864906 8 -2
1482781866384 6 -4
1482781867682 1 2
1482781868408 4 2
1482781870389 6 4
1482781871903 2 2
1482781872375 9 2
1482781873070 3 3
1482781873618 5 3
1482781874538 7 -2
1482781875259 0 1
1482781875886 10 -4
1482781876688 8 -1
1482781878257 0 -1
1482781878891 7 4
1482781882664 3 -2
1482781883242 5 -2
1482781884486 2 -2
1482781886746 6 -3
1482781887534 1 -2
1482781888972 7 -2
1482781891830 1 2
1482781892303 2 2
1482781893634 8 1
1482781895504 6 3
1482781896283 3 2
1482781897003 5 2
1482781898486 5 -1
1482781899097 3 -1
1482781901771 8 -1
1482781902391 7 2
1482781903009 0 1
1482781903935 10 2
1482781905289 3 -1
1482781906062 5 -1
1482781906728 2 -2
1482781909517 10 -2
1482781912231 7 -1
1482781913923 7 1
1482781914536 1 -2
1482781915912 0 -1
1482781916513 7 -2
1482781918479 1 2
1482781923301 6 -4
1482781925746 7 2
1482781927081 0 1
1482781928389 10 2
1482781929571 5 -1
1482781930289 9 -1
1482781932578 1 -2
1482781933715 6 4
1482781935963 9 1
1482781936891 3 -1
1482781937958 9 -2
1482781939373 1 2
1482781940069 0 4
