1482589516765 R
1482589524102 7 -2
1482589529310 7 2
1482589533758 4 -3
1482589536902 7 -2
1482589541943 0 1
1482589572694 4 1
1482589575604 R
1482589581087 6 1
1482589585960 2 1
1482589589400 2 -1
1482589590936 0 1
1482589592072 10 -1
1482589598856 10 2
1482589601169 0 -1
1482589603056 0 1
1482589607246 10 -2
1482589610736 4 -3
1482589612749 7 -2
1482589614593 2 1
1482589624466 7 2
1482589626633 4 3
1482589631977 10 1
1482589633033 0 -1
1482589635825 8 1
1482589640728 10 -1
1482589642009 8 1
1482589643432 3 4
1482589649778 5 -3
1482589661002 8 -1
1482589662451 2 -2
1482589663986 10 2
1482589671403 1 -1
1482589680938 10 -1
1482589682304 6 -2
1482589684627 9 1
1482589686723 9 -1
1482589695155 1 1
1482589696531 10 -1
1482589698483 8 1
1482589702475 6 2
1482589706260 2 2
1482589708803 8 -1
1482589711059 3 -1
1482589712907 4 -4
1482589718667 7 -1
1482589721916 10 1
1482589724476 1 -1
1482589728349 R
1482589733196 10 -1
1482589742316 0 1
1482589744828 6 1
1482589747709 R
1482589749633 6 1
1482589751445 10 1
1482589756073 10 -2
1482589759109 2 1
1482589772949 8 2
1482589775101 5 -3
1482589777364 3 4
1482589785139 2 -2
1482589796584 4 -2
1482589797938 4 2
1482589799422 6 -2
1482589801246 9 1
1482589804430 9 -1
1482589805758 6 2
1482589808335 8 -1
1482589809447 10 2
1482589815199 1 -1
1482589817623 10 -1
1482589819367 6 -2
1482589821031 6 2
1482589824952 R
1482589843689 R
1482589857024 10 -1
1482589860448 6 1
1482589871009 10 2
1482589878074 1 -1
1482589885089 1 1
1482589886295 10 -2
1482589889129 10 2
1482589898056 10 -2
1482589899433 8 2
1482589902665 3 1
1482589904051 2 1
1482589905426 3 3
1482589908599 5 -3
1482589914425 8 -1
1482589919042 2 -2
1482589920586 10 2
1482589925170 10 -2
1482589935379 6 -2
1482589937619 9 1
1482589940299 8 1
1482589943539 9 -1
1482589944843 6 2
1482589951803 2 2
1482589952867 8 -1
1482589957827 2 -2
1482589963796 10 2
1482589968979 1 -1
1482589971524 10 -1
1482589973068 2 2
1482589974308 2 -2
1482589985069 R
1482589993724 4 -3
1482589998578 7 -2
1482590000570 6 1
1482590004013 10 1
1482590009773 1 -1
1482590014526 10 -1
1482590016029 2 1
1482590024085 0 1
1482590025342 1 -1
1482590027589 9 -1
1482590033326 2 -1
1482590036718 6 -1
1482590037694 9 1
1482590038982 7 2
1482590040487 4 3
1482590049958 9 -1
1482590051397 6 1
1482590054022 10 1
1482590055759 10 -1
1482590058615 4 -3
1482590060615 2 1
1482590063843 4 3
1482590070015 7 -2
1482590073929 7 2
1482590076775 7 -2
1482590079127 9 1
1482590080549 1 2
1482590081919 10 -1
1482590086000 7 2
1482590087207 2 -1
1482590093150 4 -3
1482590097457 R
1482590108124 7 -2
1482590110392 6 1
1482590112009 10 1
1482590117016 4 -3
1482590119240 4 3
1482590123857 1 -1
1482590125057 10 -1
1482590127305 8 1
1482590129577 5 -3
1482590131081 2 -1
1482590133481 7 -1
1482590135305 10 3
1482590136729 8 1
1482590140441 6 -2
1482590141817 9 2
1482590143145 8 2
1482590144649 0 1
1482590145737 1 -1
1482590148681 8 -1
1482590153827 3 1
1482590156402 1 -1
1482590165823 8 1
1482590173691 R
1482590175794 0 1
1482590177921 1 -2
1482590179259 9 -1
1482590180351 6 1
1482590186619 7 -2
1482590192627 2 1
1482590200051 7 2
1482590204040 2 -1
1482590206435 2 1
1482590209331 9 1
1482590210491 9 -1
1482590212227 9 1
1482590213421 1 2
1482590215196 10 -1
1482590222182 R
1482590226395 4 -3
1482590236428 7 -2
1482590238756 1 -1
1482590240924 6 1
1482590242213 10 1
1482590247869 8 1
1482590251189 5 -3
1482590254997 2 -1
1482590258581 2 1
1482590259845 7 2
1482590261005 4 3
1482590263085 2 -1
