1482784818201 R
1482784894817 10 -1
1482784897074 6 1
1482784904201 0 1
1482784910927 7 -2
1482784914995 6 -1
1482784919552 10 1
1482784921216 1 -2
1482784922413 9 -1
1482784923272 6 1
1482784926395 2 1
1482784928088 7 2
1482784931436 2 -1
1482784932302 10 1
1482784933490 10 -1
1482784939197 R
1482784941785 8 1
1482784942699 8 -1
1482784944343 6 1
1482784947868 10 -1
1482784949795 0 1
1482784953911 4 -3
1482784954828 7 -2
1482784956278 6 -1
1482784958079 10 1
1482784969291 1 -2
1482784975805 7 2
1482784977275 4 3
1482784979845 6 1
1482784986347 9 -1
1482784988995 2 1
1482784998583 4 -3
1482784999410 7 -2
1482785002145 2 -1
1482785003276 10 1
1482785005377 9 1
1482785006526 1 2
1482785007850 10 -2
1482785012912 6 -1
1482785014489 6 1
1482785016902 7 2
1482785019775 6 -1
1482785023971 R
1482785030035 6 1
1482785040811 10 -1
1482785043401 0 1
1482785044598 10 2
1482785049367 10 -2
1482785054030 7 -2
1482785056901 0 -1
1482785058157 8 2
1482785061087 2 1
1482785064912 7 2
1482785066557 4 -3
1482785067929 7 -2
1482785069322 2 -1
1482785070450 8 -2
1482785071852 0 1
1482785073586 10 1
1482785075533 1 -2
1482785076330 9 -1
1482785080040 7 2
1482785082368 10 1
1482785089785 10 -1
1482785092460 7 -2
1482785094778 2 1
1482785095955 7 2
1482785097307 4 3
1482785098711 2 -1
1482785099897 2 1
1482785105448 R
1482785106858 8 1
1482785108560 5 -3
1482785110060 2 -1
1482785112562 10 -1
1482785114829 8 1
1482785116007 6 1
1482785120621 8 -1
1482785122363 10 2
1482785125090 10 -2
1482785128165 8 1
1482785129703 2 2
1482785132449 5 2
1482785134804 3 4
1482785137803 5 -2
1482785139136 2 -2
1482785146799 2 2
1482785149007 3 -4
1482785150682 2 -2
1482785152814 8 -1
1482785154275 10 2
1482785157799 1 -1
1482785159949 10 -1
1482785162198 7 -3
1482785163930 2 2
1482785168048 5 1
1482785170044 2 -1
1482785171640 10 3
1482785176770 6 -1
1482785177296 6 1
1482785178678 2 1
1482785179593 8 1
1482785180762 3 2
1482785188783 R
