1479935867002 R
1479935870243 8 1
1479935874417 8 -1
1479935876704 0 1
1479935878657 10 -1
1479935909883 R
1479935914747 0 1
1479935916198 10 -1
1479935918815 0 -1
1479935924202 10 1
1479935925279 0 1
1479935927328 0 -1
1479935927920 10 -1
1479935928990 8 2
1479935930332 3 1
1479935936072 3 -1
1479935938070 8 -1
1479935939097 10 1
1479935943148 U
1479935943830 U
1479935944303 R
1479935945980 10 -1
1479935949244 8 2
1479935950618 3 1
1479935960691 3 -1
1479935963005 8 -1
1479935964746 10 1
1479935968467 10 -1
1479935969623 8 1
1479935973005 5 -1
1479935974306 5 -2
1479935975446 2 -1
1479935976674 6 -1
1479935977847 7 -3
1479935979155 4 -4
1479935980241 7 3
1479935982327 7 -3
1479935983642 6 2
1479935987794 2 2
1479935989054 3 2
1479935991920 5 1
1479935996252 7 3
1479936001646 3 1
1479936002973 8 -1
1479936004044 10 1
1479936005523 5 -1
1479936007613 7 -1
1479936008715 7 1
1479936014938 7 -1
1479936016507 5 2
1479936021299 4 4
1479936022511 3 1
1479936023227 5 1
1479936024312 8 -1
1479936026231 10 -1
1479936027139 0 1
1479936030704 3 -1
1479936032430 4 -3
1479936035324 0 -1
1479936038563 8 2
1479936040936 8 -2
1479936044390 7 1
1479936045381 4 3
1479936046450 3 1
1479936047570 2 -1
1479936048688 0 1
1479936056098 2 1
1479936058013 3 -1
1479936058873 7 -1
1479936060444 4 -3
1479936061426 7 1
1479936063661 0 -1
1479936072065 4 3
1479936084783 R
1479936087306 10 -1
1479936088761 8 2
1479936090448 5 -2
1479936091381 5 -1
1479936092691 2 -1
1479936094354 8 -1
1479936096522 6 1
1479936099400 8 1
1479936101570 7 -3
1479936106293 2 2
1479936107473 3 2
1479936110634 3 -2
1479936111605 5 1
1479936112892 7 3
1479936114064 8 -1
1479936119986 7 -3
1479936121802 4 -4
1479936125757 4 3
1479936128042 7 3
1479936129255 2 -1
1479936130333 10 2
1479936132867 5 -1
1479936133961 2 -1
1479936135119 10 -2
1479936136388 8 1
1479936137667 3 1
1479936139273 7 -3
1479936140343 2 2
1479936141524 3 1
1479936143936 3 -2
1479936144770 2 -2
1479936146596 8 -1
1479936147909 10 3
1479936150263 8 1
1479936151541 3 1
1479936152930 3 -1
1479936153783 8 -1
1479936156856 10 -3
1479936158343 6 -2
