1482742200055 R
1482742204441 7 2
1482742205177 7 -2
1482742206300 7 2
1482742207100 7 -2
1482742208281 6 -2
1482742208829 11 1
1482742212056 5 2
1482742212874 1 2
1482742213832 3 2
1482742214715 12 1
1482742215358 0 -1
1482742216492 2 2
1482742217504 4 -1
1482742219141 10 -1
1482742220515 2 -3
1482742223541 0 2
1482742224360 12 -2
1482742225010 1 -1
1482742226062 5 -1
1482742226569 11 -1
1482742227103 6 2
1482742227916 7 2
1482742228477 7 -2
1482742229169 4 1
1482742229711 4 -1
1482742231215 12 1
1482742231782 0 -2
1482742232309 9 -2
1482742233295 11 -1
1482742234263 4 2
1482742238151 4 -2
1482742238730 11 1
1482742239982 9 2
1482742240471 0 2
1482742241043 12 -1
1482742241454 3 -1
1482742241975 1 -1
1482742243258 5 -1
1482742244450 12 1
1482742245006 0 -1
1482742247247 0 1
1482742247909 0 -1
1482742248554 10 1
1482742249203 3 -1
1482742250878 3 1
1482742251352 3 -1
1482742252409 2 2
1482742253889 2 -2
1482742255200 0 1
1482742255736 12 -1
1482742257205 4 1
1482742258302 4 -1
1482742258809 6 -2
1482742259383 11 1
1482742261105 5 2
1482742261822 9 1
1482742262634 12 1
1482742263067 0 -1
1482742263580 2 4
1482742264128 0 1
1482742265715 4 1
1482742267310 8 2
1482742268158 3 -1
1482742269023 12 -1
1482742270813 10 1
1482742271541 12 -2
1482742272491 0 -1
1482742274069 2 -2
1482742274485 9 -1
1482742275570 1 2
1482742276515 3 3
1482742277207 0 -1
1482742278372 1 -1
1482742279145 5 -1
1482742280051 11 -1
1482742280668 9 -1
1482742281291 11 -2
1482742283450 4 1
1482742284169 6 2
1482742285811 7 2
1482742286346 10 2
1482742287373 9 -1
1482742287944 2 -1
1482742290055 8 1
1482742290711 9 -1
1482742291443 0 1
1482742292292 2 2
1482742292992 0 1
1482742295624 12 2
1482742297410 3 -3
1482742298043 11 -1
1482742299141 1 -1
1482742300285 5 -1
1482742301397 4 1
1482742302378 0 1
1482742304462 10 -1
1482742305043 7 -1
1482742305768 9 3
1482742306185 8 -2
1482742306681 7 -1
1482742307207 0 3
