1480605954320 R
1480605955114 8 2
1480605956129 3 -1
1480605957856 2 1
1480605959208 2 -1
1480605964032 7 2
1480605965688 8 1
1480605968000 3 2
1480605968625 10 -1
1480605970392 8 -3
1480605971544 2 -1
1480605973208 0 1
1480605973976 12 -1
1480605974760 10 1
1480605975392 3 -1
1480605981680 4 -1
1480605982841 7 -2
1480605983657 6 -2
1480605984696 5 2
1480605985664 9 1
1480605987152 9 -1
1480605987887 1 2
1480605988703 12 2
1480605989912 3 2
1480605993504 10 -1
1480605994336 12 -2
1480605995009 1 -1
1480605996168 5 -1
1480605996865 6 2
1480606000304 4 1
1480606006080 10 1
1480606007328 3 -2
1480606008032 1 -1
1480606009112 9 1
1480606012056 4 -1
1480606014376 6 -1
1480606014976 5 1
1480606019728 6 -1
1480606020344 11 1
1480606024176 9 -1
1480606025001 1 2
1480606026073 12 2
1480606028112 3 2
1480606029272 10 -1
1480606031352 0 -2
1480606032480 9 -2
1480606036832 2 3
1480606041800 12 -1
1480606042376 1 -1
1480606043041 2 1
1480606047064 2 -4
1480606048200 5 -1
1480606051535 9 2
1480606053767 11 -1
1480606054935 6 2
1480606059783 6 -1
1480606061625 5 1
1480606063400 1 1
1480606064513 12 1
1480606069759 12 -1
1480606070311 1 -1
1480606070752 5 -1
1480606071423 6 1
1480606072263 7 2
1480606073119 4 1
1480606074303 2 2
1480606075639 8 3
1480606078984 10 2
1480606079559 0 1
1480606080497 3 -3
1480606081328 1 -1
1480606082607 9 1
1480606084008 10 -1
1480606084703 2 -1
1480606085807 2 1
1480606086471 8 -2
1480606087624 3 2
1480606088551 8 -1
1480606090799 2 -2
1480606091439 0 1
1480606092376 12 -1
1480606097504 4 -1
1480606101063 7 -2
1480606102416 9 -1
1480606103056 5 -1
1480606103936 6 -1
1480606105511 12 1
1480606106176 0 -1
1480606106640 0 1
1480606114880 R
1480606121663 2 -1
1480606122727 0 1
1480606125215 12 -1
1480606134175 4 -1
1480606136135 4 1
1480606136975 12 1
1480606137607 0 -1
1480606139096 2 2
1480606140263 10 1
1480606143943 8 1
1480606144966 3 -1
1480606149112 8 1
1480606151591 7 2
1480606152296 8 1
1480606153007 10 -1
1480606153736 2 -1
1480606157503 3 2
1480606158350 10 -1
1480606159071 10 1
1480606159774 8 -3
1480606160383 2 -1
1480606163526 2 1
1480606164166 8 3
1480606165487 3 -2
1480606169367 5 1
1480606169849 1 1
1480606172591 3 3
1480606173206 0 -1
1480606176095 8 -3
1480606176918 2 -1
1480606177519 4 -1
1480606178279 7 -1
1480606178934 7 -1
1480606182126 6 -2
1480606182695 11 1
1480606183312 5 1
1480606189015 2 4
1480606190286 10 1
1480606191214 8 1
1480606196334 0 1
1480606198702 3 -3
1480606200159 1 -1
1480606202527 9 1
1480606204175 10 -1
1480606212959 9 -1
1480606214527 2 -1
1480606216823 5 -2
1480606222080 5 2
1480606225087 4 1
1480606225744 4 -1
1480606227183 5 -2
1480606228183 2 -2
1480606229567 11 -1
1480606230416 6 2
1480606236352 2 1
1480606237919 3 2
1480606251334 6 -2
1480606251935 11 1
