1480126172676 R
1480126180088 6 -4
1480126182655 6 4
1480126184803 3 1
1480126185736 10 1
1480126187029 7 -2
1480126188020 1 -1
1480126189909 2 -3
1480126193489 11 -1
1480126195008 4 2
1480126198291 2 1
1480126199314 6 -3
1480126201058 2 -1
1480126201981 1 1
1480126203061 9 -1
1480126203682 3 1
1480126207404 7 2
1480126207934 10 -1
1480126208755 3 -2
1480126209946 9 -1
1480126211983 1 2
1480126213321 5 -1
1480126214098 11 -1
1480126217788 6 -1
1480126225358 6 1
1480126245328 7 -1
1480126247296 7 1
1480126248061 11 1
1480126249154 8 1
1480126251514 7 1
1480126252955 0 -1
1480126253639 6 -1
1480126254709 5 -2
1480126260795 1 -2
1480126263078 9 2
1480126264281 3 2
1480126265564 2 -1
1480126266612 5 -1
1480126267579 0 2
1480126268853 7 -1
1480126269796 8 -1
1480126270875 11 -1
1480126271730 9 1
1480126272338 0 3
