1480356997694 R
1480357006486 6 1
1480357007655 6 -1
1480357009329 2 1
1480357070051 7 1
1480357095443 11 1
1480357105259 0 -1
1480357106365 9 2
1480357109113 4 -2
1480357121044 11 -2
1480357122352 3 -2
1480357124062 7 -2
1480357125560 6 1
1480357128312 1 2
1480357131010 12 2
1480357132218 9 1
1480357134002 0 2
1480357137853 5 -2
1480357141550 3 1
1480357142707 3 -1
1480357143673 5 2
1480357145519 2 -1
1480357146724 8 -1
1480357148161 9 1
1480357151412 5 -2
1480357204330 3 1
1480357205598 4 1
1480357207399 5 -1
1480357213281 5 1
1480357214383 5 2
1480357217045 4 -1
1480357221997 3 -1
1480357227916 R
1480357236631 6 1
1480357239025 6 -1
1480357248352 3 -1
1480357249827 12 -1
1480357251142 1 1
1480357253232 8 -1
1480357255886 7 1
1480357257607 11 1
1480357259190 11 -1
1480357260770 7 -1
1480357262504 6 1
1480357263934 1 -1
1480357264954 3 1
1480357266093 12 1
1480357276232 8 2
1480357280558 2 1
1480357281833 0 -1
1480357285581 9 2
