1481816465420 R
1481816467644 R
1481816469499 8 -1
1481816473355 6 -1
1481816474411 3 1
1481816480379 7 1
1481816481379 11 1
1481816489627 12 -1
1481816490156 12 1
1481816493483 3 -2
1481816494627 11 -1
1481816495875 7 -1
1481816496846 6 2
1481816500899 1 1
1481816503098 8 2
1481816503923 5 1
1481816504739 2 1
1481816505547 0 -1
1481816506579 9 3
1481816508371 0 1
1481816510028 10 1
1481816511387 4 -3
1481816512436 3 -1
1481816514194 3 1
1481816514867 12 -2
1481816515676 0 1
1481816518796 11 -1
1481816519435 3 -1
1481816520683 7 -1
1481816521538 1 1
1481816524580 5 -3
1481816526931 8 -1
1481816528091 6 -1
1481816528819 1 -1
1481816529818 7 2
1481816533372 11 2
1481816534636 11 -2
1481816535635 R
1481816538075 8 -1
1481816539067 6 -1
1481816547164 3 1
1481816548243 7 1
1481816549195 11 1
1481816551324 12 -1
1481816554547 12 1
1481816555212 3 -2
1481816555940 11 -1
1481816556747 7 -1
1481816557740 1 1
1481816558443 6 2
1481816559611 8 2
1481816560643 2 1
1481816561378 5 1
1481816564139 10 1
1481816565828 12 -1
1481816567091 1 -1
1481816567923 3 1
1481816571611 5 -1
1481816573027 8 -1
1481816573826 6 -1
1481816574595 7 1
1481816575572 11 1
1481816577675 12 1
1481816579331 10 -1
1481816580173 2 -1
1481816581116 8 -1
1481816581923 6 -1
1481816582618 3 1
1481816583763 12 -1
1481816587859 R
1481816591586 8 -1
1481816594098 6 1
1481816596874 6 -2
1481816603506 3 1
1481816608354 7 1
1481816609131 11 1
1481816613435 3 -1
1481816614443 12 -1
1481816616931 6 1
1481816617627 6 -1
1481816620611 R
1481816622994 2 1
1481816623738 0 -1
1481816624572 9 2
1481816627747 7 1
1481816628499 11 1
1481816631922 4 -2
1481816633394 3 -2
1481816640604 11 -2
1481816642034 7 -2
1481816643562 12 -1
1481816645146 9 -1
1481816646347 6 1
1481816649107 6 -1
1481816649907 7 2
1481816653035 3 2
1481816653842 12 1
1481816654748 12 -1
1481816655962 4 1
1481816727387 R
1481816735674 2 1
1481816737826 0 -1
1481816741618 6 1
1481816742626 6 -1
1481816743434 7 1
1481816744874 7 -1
1481816745570 6 1
1481816746245 8 1
1481816747082 5 1
1481816754778 0 1
1481816759362 0 -1
