1480356798763 R
1480356804016 8 -1
1480356805202 8 1
1480356808880 8 -1
1480356809617 6 1
1480356813201 6 -2
1480356814168 7 1
1480356815056 3 1
1480356816737 11 1
1480356824240 3 -2
1480356825145 1 1
1480356826296 1 -1
1480356829810 3 2
1480356834353 12 -1
1480356836712 12 1
1480356841048 12 -1
1480356846544 3 -2
1480356848720 11 -1
1480356853184 11 1
1480356855024 3 2
1480356857553 12 1
1480356865320 12 -1
1480356867784 12 1
1480356870657 R
1480356874745 2 1
1480356876296 0 -1
1480356879664 9 2
1480356881520 4 -2
1480356883112 11 -1
1480356886992 7 1
1480356889576 9 -1
1480356890320 12 -1
1480356891273 3 -2
1480356893472 1 1
1480356894377 9 2
1480356897792 0 1
1480356899288 10 1
1480356900338 4 -1
1480356901632 12 -1
1480356902752 0 1
1480356909817 7 -2
1480356910960 1 1
1480356912153 6 1
1480356913056 0 -1
1480356913792 12 4
1480356916464 0 1
1480356917856 0 -1
1480356921224 12 -4
1480356922424 0 1
1480356923585 5 -2
1480356926058 5 2
1480356928872 1 -1
1480356929649 6 -1
1480356930634 7 2
1480356933329 11 2
1480356935600 3 1
1480356936361 0 -1
1480356937217 12 2
1480356937776 4 3
1480356945024 10 -1
1480356945840 2 -1
1480356946872 8 -1
1480356947496 6 -1
1480356952777 4 -2
1480356953801 3 -1
1480356954536 11 -2
1480356955410 12 -1
1480356957072 7 -2
1480356958465 1 1
1480356962072 12 2
1480356963171 0 1
1480356969185 3 1
1480356970841 R
1480356975978 2 1
1480356976472 2 -1
1480357007913 R
1480357010016 R
1480357010329 R
1480357010641 R
1480357012137 2 1
1480357012696 0 -1
1480357013736 9 2
1480357016304 4 -2
1480357019512 11 -1
1480357021310 7 -1
1480357023147 7 2
1480357025208 3 -2
1480357026296 12 -1
1480357027705 11 2
1480357028464 3 2
1480357029592 12 1
1480357032377 4 2
1480357036024 12 -1
1480357036641 12 1
1480357039928 9 -2
1480357043512 9 2
1480357045377 4 -2
1480357047032 9 -1
1480357047576 12 -1
1480357048224 3 -2
1480357049121 11 -2
1480357050656 1 1
1480357053010 9 2
1480357053705 0 1
1480357054472 12 1
1480357055984 10 1
1480357056696 4 -1
1480357058617 12 -2
1480357059672 0 1
1480357063602 7 -2
1480357064290 7 2
1480357070632 7 -2
1480357071264 1 1
1480357071912 6 1
1480357072816 3 1
1480357074320 8 1
1480357076825 5 1
1480357081689 0 -1
1480357083001 12 3
1480357084201 0 1
1480357169546 4 2
1480357170081 4 -2
1480357175520 5 -3
1480357177249 8 -1
1480357182289 6 -1
1480357185369 6 1
1480357186106 12 1
1480357187313 3 -1
1480357191008 4 1
1480357191672 4 -1
1480357192817 5 2
1480357195785 4 1
1480357198880 4 -1
1480357200376 0 -1
1480357202345 3 1
1480357203866 3 -1
1480357204672 12 -4
1480357205736 1 -1
1480357206369 6 -1
1480357207553 7 2
1480357208593 11 2
1480357211897 0 1
1480357212745 5 -2
