1481975459216 R
1481975468597 2 1
1481975469454 2 -1
1481975473733 2 1
1481975476582 12 -2
1481975479917 3 1
1481975486533 12 2
1481975490342 12 -2
1481975493013 9 -1
1481975494005 3 1
1481975500557 12 2
1481975501525 11 -1
1481975502661 6 -1
1481975508645 10 3
1481975512372 2 -1
1481975514719 2 1
1481975515701 10 -3
1481975524654 3 -2
1481975525357 5 -1
1481975527926 9 2
1481975532102 9 -2
1481975532966 3 2
1481975533492 5 1
1481975540677 10 3
1481975544701 10 -3
1481975545820 6 1
1481975548101 11 1
1481975549380 12 -2
1481975561877 12 2
1481975563901 11 -1
1481975564749 6 -1
1481975566397 12 -1
1481975567261 2 -1
1481975568733 8 1
1481975570135 7 -1
1481975571383 9 -1
1481975572270 12 2
1481975623205 5 -1
1481975624069 5 1
1481975639645 6 1
1481975640309 11 1
1481975644197 12 -3
1481975646565 3 -2
1481975648493 8 1
1481975650077 4 2
1481975651197 9 2
1481975652141 7 1
1481975654805 8 -2
1481975656060 2 2
1481975665725 2 -2
1481975760179 4 -2
1481975761003 3 1
1481975763100 3 -1
1481975764155 9 -1
1481975768692 12 2
1481975770539 3 2
