1479279626606 R
1479279634648 12 -2
1479279638251 4 2
1479279639176 9 -1
1479279640552 4 -2
1479279642079 3 2
1479279644576 12 2
1479279645758 2 1
1479279647039 11 -1
1479279648563 2 -1
1479279650014 12 -1
1479279651515 6 -1
1479279652714 12 1
1479279654110 2 1
1479279660236 2 -1
1479279661271 8 1
1479279662343 12 -1
1479279663546 4 1
1479279665405 7 -1
1479279666561 9 -1
1479279667623 4 -1
1479279669122 12 2
1479279671857 12 -2
1479279673050 4 1
1479279674671 9 1
1479279675629 7 1
1479279676392 8 -1
1479279677455 2 1
1479279687738 2 -1
1479279689207 4 -1
1479279690403 12 1
1479279693753 12 -1
1479279694806 4 1
1479279695635 8 1
1479279696857 7 -1
1479279697508 9 -1
1479279698804 4 -1
1479279699861 12 2
1479279706257 5 -1
1479279707268 5 1
1479279711887 6 1
1479279712772 11 1
1479279714267 12 -3
1479279715437 3 -2
1479279716904 9 2
1479279718272 4 2
1479279719835 7 1
1479279720760 8 -1
1479279722163 2 2
1479279723407 12 1
1479279724572 12 -1
1479279725735 9 -1
1479279728020 0 1
1479279731034 9 1
1479279736639 0 -1
1479279740422 0 1
1479279744843 0 -1
1479279746424 2 -2
1479279747884 8 2
1479279749646 7 -1
1479279750230 9 -2
1479279751891 4 -2
1479279754065 3 2
1479279755870 8 -1
1479279757729 12 3
1479279759757 11 -1
1479279760835 6 -1
1479279763224 6 1
1479279763917 11 1
1479279765273 12 -3
1479279767039 3 -2
1479279768652 9 2
1479279769653 4 2
1479279770940 7 1
1479279771521 8 -1
1479279782753 12 1
1479279783656 11 -1
1479279784425 6 -1
1479279785137 5 -1
1479279785906 9 1
1479279787977 2 3
1479279789784 0 1
1479279790779 8 1
1479279796332 8 -1
1479279797667 2 -1
1479279798841 9 -2
1479279800520 5 1
1479279803258 6 1
1479279804054 11 1
1479279805707 12 -1
1479279816448 10 1
1479279819833 12 1
1479279820537 11 -1
1479279821270 6 -1
1479279822136 5 -1
1479279823277 9 2
1479279825188 2 1
1479279825888 8 1
1479279826980 7 -3
1479279827655 8 -1
1479279829118 2 -1
1479279830035 9 -3
1479279831314 5 1
1479279834050 6 1
1479279834886 11 1
1479279836117 12 -1
1479279843934 9 2
1479279846961 12 1
1479279847817 11 -1
1479279848684 6 -1
1479279850702 5 -1
1479279851315 9 1
1479279854478 2 1
1479279860285 2 -1
1479279863222 2 1
1479279870545 U
1479279871315 U
1479279871581 U
1479279871783 U
1479279871967 U
1479279872465 R
1479279879156 3 1
1479279880268 11 -1
1479279881745 6 -1
1479279885567 12 -1
1479279886919 3 -1
1479279888750 4 2
1479279891463 2 2
1479279896063 2 -2
1479279897896 8 1
1479279900364 8 -1
1479279902170 2 2
1479279904047 0 1
1479279905468 9 -1
1479279909914 0 -1
1479279911296 2 -2
1479279912661 4 -2
1479279914454 3 2
1479279916232 6 1
1479279917415 11 1
1479279923188 12 1
1479279927348 12 -2
1479279928962 4 1
1479279929651 4 -1
1479279931286 8 2
1479279932731 7 -1
1479279933967 8 -1
1479279936706 9 -1
1479279938523 12 3
1479279939880 11 -1
1479279941146 6 -1
1479279962624 6 1
1479279963728 11 1
1479279977326 12 -3
1479279983379 3 -2
1479279984648 4 2
1479279985892 9 2
1479279986876 7 1
1479279987723 8 -1
1479279989199 2 2
1479279990356 0 1
1479279992408 9 -1
1479280001039 0 -1
1479280004708 9 1
1479280005890 0 1
1479280006795 10 1
1479280011506 R
1479280015442 12 -2
1479280017225 4 2
1479280022394 2 2
1479280024792 2 -2
1479280025892 8 2
1479280027299 7 -1
1479280028647 9 -2
1479280029947 4 -2
1479280031006 8 -1
1479280032314 12 3
1479280033337 3 2
1479280034253 11 -1
1479280034784 6 -1
