1481983462231 R
1481983472735 12 -2
1481983478182 4 2
1481983480686 2 2
1481983483710 9 -1
1481983486718 9 1
1481983488183 2 -2
1481983489304 9 -1
1481983490671 4 -2
1481983494406 3 2
1481983496709 12 2
1481983502973 12 -2
1481983507902 3 -2
1481983510414 9 1
1481983512373 4 2
1481983513390 8 2
1481983515230 7 -1
1481983516005 9 -2
1481983517661 4 -2
1481983519125 8 -1
1481983521022 12 3
1481983530941 11 -1
1481983534709 6 -1
1481983535909 3 2
1481983539311 6 1
1481983540422 11 1
1481983542637 11 -1
1481983543893 6 -1
1481983547637 5 -1
1481983549677 3 -2
1481983550749 12 -2
1481983557669 4 2
1481983559952 9 3
1481983561672 7 1
1481983562646 8 -1
1481983565775 2 1
1481983567390 9 -2
1481983571110 4 -2
1481983573877 12 1
1481983575790 2 -1
1481983578503 12 -1
1481983580022 4 2
1481983584278 8 1
1481983585222 7 -1
1481983586326 9 -1
1481983588861 4 -2
1481983590846 12 2
1481983591765 3 2
1481983592822 5 1
1481983595152 6 1
1481983596398 11 1
1481983601160 12 -3
1481983603194 8 1
1481983604757 4 1
1481983620668 8 -1
1481983621341 4 -1
1481983622733 12 3
1481983626468 3 -2
1481983629501 11 -1
1481983636740 11 1
1481983640260 3 2
1481983645445 12 -3
1481983648965 8 1
1481983650349 4 1
1481983654756 9 1
1481983656327 9 -1
1481983661124 4 -1
1481983665934 9 1
1481983667356 7 1
1481983668408 8 -2
1481983674917 12 2
1481983678493 12 -2
1481983681318 2 1
1481983685397 12 2
1481983686598 10 3
1481983692669 10 -3
1481983693981 12 -2
1481983696261 3 -2
1481983697582 9 1
1481983698893 4 2
1481983700189 2 1
1481983703702 9 -1
1481983706573 9 1
1481983707821 2 -1
1481983708693 4 -2
1481983709685 9 -1
1481983711165 3 2
1481983712900 12 2
1481983714860 11 -1
1481983715685 6 -1
1481983721429 2 -1
1481983724014 8 1
1481983725085 7 -1
1481983726237 9 -1
1481983728021 12 1
1481983733452 3 -1
1481983734268 12 -1
1481983735349 9 2
1481983739036 5 -1
1481983739820 9 1
1481983743501 7 1
1481983744795 8 -1
1481983748371 2 1
1481983751340 9 -2
1481983753252 3 -1
1481983754196 U
1481983756196 U
1481983756916 U
1481983757436 R
1481983767459 11 -1
1481983769140 6 -1
1481983772269 3 1
1481983776371 2 1
1481983778804 10 3
