1480104390937 R
1480104393480 2 -1
1480104394593 1 1
1480104400752 1 -2
1480104404240 2 2
1480104405432 3 -1
1480104406361 9 -1
1480104407586 10 -1
1480104412976 1 1
1480104413954 8 1
1480104415208 7 -2
1480104430904 7 2
1480104433616 7 -2
1480104435112 2 -2
1480104436344 5 1
1480104437592 4 2
1480104440121 4 -2
1480104441160 5 -2
1480104442448 6 -1
1480104443920 2 2
1480104447760 6 1
1480104450056 5 1
1480104451305 2 -2
1480104452152 6 -1
1480104453680 5 1
1480104454299 1 2
1480104456017 4 3
1480104461128 0 2
1480104464688 7 2
1480104465864 8 -3
1480104467056 7 -2
1480104471584 0 -1
1480104473760 4 -1
1480104474984 1 -3
1480104477321 6 1
1480104482921 1 2
1480104484544 0 1
1480104486633 0 -1
1480104488449 1 -2
1480104492408 6 -1
1480104493160 1 3
1480104494792 4 1
1480104496872 0 1
1480104503432 7 2
1480104504384 R
1480104510192 1 -1
1480104513641 2 -1
1480104515472 5 1
1480104519704 5 -2
1480104521088 2 2
1480104522216 3 -1
1480104523736 7 -1
1480104527000 7 1
1480104527688 5 1
1480104529145 3 1
1480104531784 2 -2
1480104532465 1 2
1480104533808 8 1
1480104534801 7 -2
1480104537384 5 1
1480104538495 4 2
1480104543329 0 2
1480104546384 0 -2
1480104547360 4 -2
1480104548488 5 -2
1480104549320 2 1
1480104550640 3 -1
1480104552488 9 -1
1480104553792 10 -1
1480104554944 6 -1
1480104556137 1 1
1480104558824 2 -1
1480104559992 7 2
1480104560960 8 -1
1480104561784 8 1
1480104562505 7 -2
1480104563681 4 1
1480104565033 2 1
1480104567936 R
1480104626457 2 -1
1480104629928 5 1
1480104631186 1 1
1480104632208 8 1
1480104633456 7 -2
1480104636704 1 -1
1480104638152 4 1
1480104639440 5 -2
1480104640527 2 2
1480104642368 5 1
1480104643944 4 -1
1480104649593 7 2
1480104650935 8 -1
1480104652344 1 -1
1480104653576 5 -1
1480104655353 7 -1
1480104658664 2 -2
1480104659784 5 2
1480104663656 5 -2
1480104665360 2 2
1480104668480 7 1
1480104669632 3 -1
1480104670849 9 -1
1480104671848 10 -1
1480104681096 1 1
1480104682329 8 1
1480104683416 7 -2
1480104686199 4 1
1480104693944 2 -2
1480104696536 1 1
1480104698352 5 2
1480104699832 4 1
1480104705663 0 2
1480104712584 10 1
1480104713185 9 1
1480104713944 3 1
1480104715400 0 -2
1480104717905 4 -2
1480104727767 4 2
1480104731672 4 -2
1480104732401 7 2
1480104736328 5 -1
1480104737400 2 1
1480104741239 8 -1
1480104742369 1 -2
1480104743535 2 1
1480104745008 7 -1
1480104746704 5 -1
1480104751199 2 -2
1480104752216 5 2
1480104755352 1 2
1480104756049 8 1
1480104756833 7 -1
1480104762352 4 1
1480104764440 5 -2
1480104765471 2 1
1480104768279 1 -1
1480104769232 2 1
1480104770504 5 1
1480104771449 5 -1
1480104777449 3 -1
1480104778152 9 -1
1480104779456 10 -1
1480104798295 4 -1
1480104799151 7 1
1480104800175 8 -1
1480104801146 1 -1
1480104807127 1 1
1480104807992 8 1
1480104808687 7 -1
1480104815911 4 1
1480104817039 4 -1
1480104817983 2 -2
1480104819487 5 2
1480104820375 4 2
1480104826935 0 1
1480104829887 1 1
1480104832167 6 -1
1480104833159 1 1
1480104834015 4 1
1480104835792 7 2
1480104837311 8 -3
1480104838784 7 -2
1480104844103 4 -1
1480104845655 1 -3
1480104848527 6 1
1480104853863 0 1
1480104855087 0 -1
