1481747891388 R
1481747927790 8 -2
1481747931701 9 -1
1481747933015 5 -1
1481747934110 4 -1
1481747936375 6 -1
1481747937494 3 -1
1481747940531 1 -1
1481747942186 5 4
1481747946746 7 1
1481747949787 7 -1
1481747951146 5 -4
1481747953099 2 -2
1481747954139 1 2
1481747955408 7 2
1481747959107 0 1
1481747960066 10 -2
1481747961066 3 -1
1481747962619 9 3
1481747963995 0 2
1481747965762 6 -2
1481747966706 7 -2
1481747968867 8 1
1481747969747 10 -1
1481747974268 7 2
1481747975067 0 -1
1481747976052 5 2
1481747977619 8 1
1481747978750 6 -1
1481747981947 10 2
1481747983075 6 3
1481747984059 8 -2
1481747985228 5 -2
1481747986245 0 1
1481747987444 7 -1
1481747988396 6 -2
1481747989156 7 -1
1481747989996 10 -1
1481747994533 7 2
1481747995428 0 -1
1481747996346 6 2
1481747996988 0 -1
1481748001585 9 -3
1481748002523 1 -1
1481748003616 2 2
1481748005648 4 2
1481748006459 5 2
1481748007458 9 1
1481748008634 10 1
1481748009802 8 3
1481748010954 10 -2
1481748016481 4 -1
1481748017162 5 -1
1481748018698 2 -1
1481748019874 3 3
1481748020674 6 1
1481748021699 7 1
1481748023595 10 3
1481748024732 8 -3
1481748025835 9 -1
1481748026625 5 -1
1481748027523 4 -1
1481748030523 7 -1
1481748031178 6 -1
1481748032066 3 -2
1481748033467 2 1
1481748035210 2 -2
1481748036195 1 1
1481748038011 9 1
1481748038659 3 2
1481748039876 9 1
1481748041411 10 -2
1481748042507 3 -3
1481748043475 9 1
1481748045267 0 2
1481748045923 7 -2
1481748046719 6 -2
1481748048732 8 1
1481748049571 10 -1
1481748053531 7 2
1481748056524 6 2
1481748064296 0 -2
1481748065240 5 2
1481748066192 8 1
1481748069088 0 1
1481748069936 6 -3
1481748075377 0 -1
1481748076273 9 -2
1481748077209 5 -1
1481748078096 1 -1
1481748079136 2 2
1481748080032 5 1
1481748081049 4 2
1481748082081 8 1
1481748085928 3 2
1481748088177 8 -1
1481748089321 5 -1
1481748090090 4 -2
1481748094737 3 -2
1481748096842 5 1
1481748097722 4 2
1481748098705 8 1
1481748135320 10 2
1481748138807 3 2
1481748140031 10 1
1481748140887 0 -1
1481748142496 7 -3
1481748144568 3 -1
1481748145783 0 1
1481748147143 10 -3
1481748148368 3 -1
1481748149783 1 -3
1481748151311 9 2
1481748152536 5 2
1481748154007 0 2
1481748155671 7 3
1481748156907 6 2
1481748157616 10 1
1481748158527 8 -3
1481748159720 4 -2
1481748160377 0 2
