1479856589992 R
1479856604201 10 -1
1479856607045 7 -1
1479856611054 7 2
1479856612309 4 -1
1479856615477 4 1
1479856616821 7 -2
1479856619924 8 -2
1479856620979 2 -2
1479856625895 1 2
1479856627267 12 -1
1479856629415 9 -1
1479856632207 6 -1
1479856633697 3 2
1479856641419 1 1
1479856642810 8 2
1479856647479 5 1
1479856648986 11 1
1479856655309 7 1
1479856658199 4 -1
1479856659264 9 -1
1479856660526 6 -1
1479856665506 6 1
1479856667725 11 -1
1479856668733 11 1
1479856670426 R
1479856675585 3 1
1479856677065 7 2
1479856680054 10 -1
1479856682235 4 -1
1479856687805 0 1
1479856688847 11 -2
1479856693572 4 1
1479856695166 4 -1
1479856697815 R
1479856708689 2 -2
1479856712252 10 -1
1479856719394 7 -1
1479856720627 8 -2
1479856724257 1 2
1479856725504 12 -1
1479856726820 9 -1
1479856730323 6 -1
1479856731279 3 2
1479856735339 5 2
1479856737251 11 1
1479856743523 11 -1
1479856744824 5 -2
1479856746067 1 -1
1479856747445 2 2
1479856750181 3 -2
1479856751817 6 1
1479856755477 9 1
1479856756431 12 1
1479856757741 1 -1
1479856758836 8 2
1479856762181 3 1
1479856763167 7 3
1479856768882 4 -1
1479856771489 4 1
1479856772915 0 1
1479856775767 11 -2
1479856780506 4 -1
1479856798914 R
1479856821383 3 1
1479856825287 7 2
1479856828949 10 -1
1479856843745 7 -3
1479856845517 8 -2
1479856849240 2 -2
1479856858449 1 2
1479856859853 12 -1
1479856861392 9 -1
1479856863406 6 -1
1479856864609 3 1
1479856866446 1 1
1479856868875 8 2
1479856881763 R
1479856903907 7 1
1479856907183 7 -1
1479856909995 2 -2
1479856921822 10 -1
1479856924145 7 -1
1479856925581 8 -2
1479856927658 1 2
1479856930317 3 1
1479856933931 1 -2
1479856934987 8 2
1479856936135 2 2
1479856937537 7 3
1479856943350 0 1
1479856944527 11 -2
1479856951045 4 -1
1479856958770 R
1479856970511 3 1
1479856973685 7 2
1479856977115 0 1
1479856978241 10 -1
1479856982007 11 -2
1479856984035 11 2
1479856985313 4 -1
1479856990490 0 -1
1479857004185 7 -2
1479857005998 2 -2
