1480594168739 R
1480594172421 10 -1
1480594173418 7 -1
1480594175747 3 1
1480594182532 7 2
1480594183363 5 1
1480594184402 11 1
1480594185802 7 -2
1480594187011 8 -3
1480594188994 2 -2
1480594190490 1 2
1480594191611 12 -1
1480594192155 9 -1
1480594192675 6 -1
1480594193165 3 1
1480594193907 1 1
1480594198770 8 3
1480594199986 7 1
1480594200682 4 -1
1480594202395 9 -1
1480594203563 6 -1
1480594204923 6 1
1480594208091 9 1
1480594209235 9 -1
1480594212483 6 -1
1480594213170 6 1
1480594213763 9 1
1480594214835 4 1
1480594215538 7 -1
1480594216828 8 -3
1480594218667 1 -2
1480594220515 1 2
1480594222899 1 -2
1480594223611 3 -1
1480594224691 1 1
1480594225258 6 1
1480594226211 9 1
1480594226764 12 1
1480594227324 1 -2
1480594229515 7 1
1480594230748 4 -1
1480594231882 4 1
1480594232570 7 -1
1480594233603 2 2
1480594235475 7 2
1480594236667 4 -1
1480594237482 1 1
1480594238019 12 -4
1480594240315 9 -2
1480594241946 6 -2
1480594242962 2 1
1480594243403 3 1
1480594244339 1 2
1480594246946 1 -1
1480594247506 5 1
1480594251419 7 -1
1480594252155 5 -1
1480594252874 1 1
1480594253746 1 -3
1480594254182 2 -3
1480594255603 1 3
1480594257474 6 1
1480594258187 9 1
1480594259099 4 1
1480594260267 7 -1
1480594262075 8 3
1480594263083 7 1
1480594263739 4 -1
1480594264724 9 -1
1480594265386 6 -1
1480594268123 6 1
1480594269677 9 1
1480594270595 4 1
1480594271296 7 -1
1480594271899 8 -3
1480594282010 1 -3
1480594283235 3 -1
1480594283875 6 1
1480594285171 8 4
1480594286731 2 2
1480594290050 7 2
1480594292698 1 1
1480594294322 4 -1
1480594295722 11 -1
1480594296381 5 -1
1480594296994 7 1
1480594299162 9 -1
1480594301428 0 1
1480594301931 11 -1
1480594303955 1 -1
1480594304786 8 -1
1480594305530 9 2
1480594306348 4 1
1480594308034 12 1
1480594309195 10 1
1480594310266 11 -2
1480594312795 0 -1
1480594313515 7 -1
1480594314186 5 1
1480594318971 9 -1
1480594319523 6 -1
1480594319994 3 1
1480594320523 5 1
1480594323266 5 -2
1480594324602 7 1
1480594325234 0 1
1480594325827 11 3
1480594327029 12 -1
1480594327539 10 -1
1480594328874 4 -1
1480594330778 3 -1
1480594331355 6 1
1480594331764 9 -1
1480594332909 8 1
1480594333571 1 1
1480594334691 11 -1
1480594336010 11 1
1480594337092 1 -1
1480594337882 12 1
1480594338946 11 -2
1480594341818 11 2
1480594343866 8 -1
1480594345875 9 2
1480594346410 4 1
1480594349203 12 -1
1480594350395 0 -1
1480594351042 7 -3
1480594355282 8 -2
1480594355899 2 -2
1480594356419 3 -1
1480594360378 1 2
1480594361758 9 -1
1480594363578 3 1
1480594366042 3 -1
1480594368427 9 1
1480594371515 9 -1
1480594372155 6 -1
1480594372978 3 2
1480594374250 1 1
1480594375091 8 2
1480594377362 8 -2
1480594378450 1 -1
1480594379594 5 2
1480594380219 11 1
1480594381099 8 -1
1480594384266 7 1
1480594385547 4 -1
1480594386034 9 -1
1480594386931 1 -2
1480594388155 2 2
1480594388586 5 -1
1480594392402 5 1
1480594393251 5 -1
1480594394331 7 1
1480594396682 1 1
1480594398531 6 -1
1480594399482 3 -1
1480594400211 6 2
1480594403651 9 2
1480594404163 4 1
1480594404930 7 -2
1480594413227 1 -1
1480594413818 2 -2
1480594414573 1 2
1480594416898 9 -1
1480594417475 9 1
1480594418556 9 -1
1480594419123 6 -1
1480594420362 3 1
1480594420943 1 1
1480594425011 8 3
1480594429346 11 -1
1480594429892 5 -1
1480594431554 8 -2
1480594432515 1 -1
1480594433067 3 -2
1480594434051 6 1
1480594435282 1 -2
1480594435891 8 3
1480594436523 2 2
1480594438570 3 1
1480594439222 7 3
1480594440938 0 1
1480594443227 4 -1
1480594444202 1 1
1480594446450 0 -1
1480594447450 0 1
1480594449434 0 -1
1480594450171 7 -2
1480594451515 2 -2
1480594452595 3 -1
1480594454507 9 -1
1480594456555 1 1
1480594459347 1 -2
1480594460162 8 -1
1480594462314 6 -1
1480594462963 3 2
1480594464923 6 -1
1480594466843 6 1
1480594467618 9 1
1480594468690 4 1
1480594469450 7 -1
1480594470074 8 -2
1480594472347 1 3
1480594473611 1 -2
1480594474378 3 -2
1480594475034 1 1
1480594475938 6 1
1480594478330 1 -2
1480594479051 3 1
1480594479653 2 2
1480594480498 8 3
1480594481730 8 -1
1480594482547 7 3
1480594484042 7 -2
1480594485042 7 -1
1480594489187 7 3
1480594490715 4 -1
1480594492090 9 -1
1480594492931 8 1
1480594493650 1 1
1480594494621 0 1
1480594504659 11 -1
1480594506098 1 -1
1480594506970 8 -1
1480594508116 9 2
1480594509058 4 1
1480594512298 11 1
1480594512826 0 -1
1480594513556 7 -2
1480594515455 2 -2
1480594516122 7 -1
1480594516563 8 -2
1480594517659 3 -1
1480594520835 1 2
1480594544387 9 -1
1480594545428 6 -1
1480594546754 3 1
1480594547291 3 1
1480594547907 1 1
1480594549106 8 2
1480594550771 7 1
1480594552114 10 1
1480594552754 10 -1
1480594553314 4 -1
1480594553875 9 -1
1480594555523 6 -1
1480594559355 6 1
1480594568034 6 -1
