1480168367123 R
1480169115735 2 -2
1480169119164 10 -1
1480169120119 7 -1
1480169122761 2 2
1480169128080 3 1
1480169129703 7 3
1480169130624 0 1
1480169133067 4 -1
1480169134314 4 1
1480169135928 11 -2
1480169138086 11 2
1480169142187 0 -1
1480169143258 7 -3
1480169144492 2 -2
1480169145289 8 -2
1480169146467 1 2
1480169148337 12 -1
1480169149154 9 -1
1480169149892 6 -1
1480169150610 3 1
1480169151425 1 1
1480169152075 8 2
1480169156540 8 -2
1480169157868 1 -2
1480169159096 2 2
1480169162745 5 2
1480169163726 11 1
1480169164570 8 -1
1480169166216 7 2
1480169167128 5 -1
1480169169394 3 -1
1480169170319 6 1
1480169171905 9 1
1480169172635 12 1
1480169173847 1 -1
1480169174734 7 -2
1480169175943 8 3
1480169178442 8 -3
1480169179120 2 -2
1480169181043 1 2
1480169183076 1 -2
1480169185259 2 2
1480169186224 8 3
1480169189911 11 -1
1480169192660 5 -1
1480169194088 7 3
1480169195061 0 1
1480169196080 11 -2
1480169199980 4 -1
1480169203261 4 1
1480169204013 10 1
1480169204975 11 -1
1480169205807 0 -1
1480169206732 7 -2
1480169207595 2 -3
1480169210878 3 -1
1480169214279 7 1
1480169216861 7 -1
1480169221043 7 1
1480169222306 3 1
1480169223206 7 1
1480169229292 0 1
1480169230022 11 2
1480169230696 10 -1
1480169231647 4 -1
1480169236575 11 -1
1480169240792 11 1
1480169241538 4 1
1480169242463 10 1
1480169243225 11 -2
1480169243992 0 -1
1480169245142 7 -2
1480169247500 2 3
1480169249160 7 2
1480169250138 0 1
1480169251945 11 3
1480169252658 10 -1
1480169253701 4 -1
1480169255372 0 -1
1480169256360 7 -2
1480169257192 2 -2
1480169258150 3 -1
1480169263101 2 2
1480169263984 7 1
1480169267490 4 1
1480169268471 7 -2
1480169269264 8 -2
1480169270140 1 1
1480169271270 12 -1
1480169274806 3 1
1480169275994 12 1
1480169276785 1 -1
1480169277607 8 2
1480169278587 7 3
1480169279551 4 -1
1480169284269 7 -2
1480169285134 3 -1
1480169285911 2 -2
1480169293326 2 2
1480169294256 7 1
1480169295259 4 1
1480169296409 7 -2
1480169298834 2 -2
1480169300100 8 -2
1480169301132 1 2
1480169306465 1 -2
1480169310737 1 2
1480169311618 12 -1
1480169312757 9 -1
1480169313888 6 -1
1480169314534 3 2
1480169315949 1 -1
1480169316893 2 2
1480169317740 5 2
1480169318666 11 1
1480169319491 8 -1
1480169322457 5 -1
1480169323439 7 2
1480169326430 12 -3
1480169327530 1 -1
1480169328386 7 -2
1480169329399 2 -2
1480169331721 1 3
1480169335556 1 -3
1480169336448 2 2
1480169337319 7 2
1480169339462 7 -2
1480169340366 5 1
1480169341699 1 1
1480169343883 7 1
1480169344666 4 -1
1480169345487 9 -1
1480169346235 6 -1
1480169346856 2 1
1480169351070 7 1
1480169351931 1 -1
1480169352911 7 -1
1480169355113 2 -3
1480169355833 5 -1
1480169356550 3 -1
1480169357271 6 2
1480169361945 1 2
1480169367601 9 2
1480169368360 4 1
1480169369355 7 -1
1480169370330 1 -2
1480169371336 2 2
1480169372267 8 3
1480169373220 11 -1
1480169373994 5 -1
1480169374933 7 3
1480169376051 0 1
1480169376923 4 -1
1480169377601 4 1
1480169382725 11 -1
1480169384123 11 1
1480169385225 9 -1
1480169385867 8 1
1480169386936 1 1
1480169389690 12 3
1480169390608 11 -2
1480169392641 11 2
1480169393851 12 -3
1480169394705 4 -1
1480169395646 9 -1
1480169401850 1 -1
1480169402729 8 -1
1480169403471 9 2
1480169404145 4 1
1480169406760 10 1
1480169407399 12 1
1480169408350 11 -3
1480169410287 0 -1
1480169411101 7 -1
1480169411985 3 -1
1480169416129 9 -1
1480169416606 8 1
1480169417886 1 1
1480169418872 12 2
1480169420470 7 -1
1480169421174 2 -3
1480169424776 1 1
1480169429702 7 1
1480169430448 12 -2
1480169437059 1 -2
1480169437819 8 -1
1480169438529 9 1
1480169440631 3 1
1480169441425 7 1
1480169442479 0 1
1480169444272 9 -1
1480169444854 8 1
1480169445818 1 2
1480169446770 0 2
1480169447962 7 -1
1480169448704 3 -1
1480169452983 11 2
1480169453598 10 -1
1480169454219 4 -1
1480169455366 9 -1
1480169456406 0 2
