1479926600526 R
1479926606930 3 1
1479926608484 7 2
1479926610690 10 -1
1479926623456 0 1
1479926624938 11 -2
1479926630374 4 -1
1479926632373 11 2
1479926633626 0 -1
1479926638084 4 1
1479926641292 7 -3
1479926642924 3 -1
1479926644159 2 -2
1479926645730 8 -2
1479926647392 1 2
1479926650973 12 -1
1479926655254 R
1479926666195 2 -2
1479926674198 2 2
1479926676646 3 1
1479926678077 7 2
1479926689688 10 -1
1479926693388 4 -1
1479926701662 7 -2
1479926705110 3 -1
1479926709679 7 1
1479926711769 4 1
1479926720109 3 1
1479926721579 7 1
1479926723078 0 1
1479926730341 0 -1
1479926731833 7 -3
1479926733965 8 -2
1479926735871 2 -2
1479926738513 1 2
1479926745379 3 -1
1479926751618 1 -2
1479926754270 8 2
1479926761152 7 1
1479926768190 2 2
1479926769533 3 1
1479926771231 7 2
1479926774099 4 -1
1479926775884 4 1
1479926777779 10 1
1479926778789 0 1
1479926780389 11 -3
1479926783081 0 -1
1479926784763 7 -2
1479926790169 7 2
1479926791276 0 1
1479926792766 11 3
1479926793994 10 -1
1479926795105 0 -1
1479926796707 7 -3
1479926801375 2 -2
1479926802812 8 -2
1479926804536 3 -1
1479926806322 1 2
1479926812185 12 -1
1479926814614 9 -1
1479926817176 6 -1
1479926819281 3 2
1479926823912 1 1
1479926825779 5 1
1479926827163 11 1
1479926828918 8 -1
1479926830696 7 1
1479926831797 4 -1
1479926833340 9 -1
1479926836501 1 -2
1479926837723 5 1
1479926839193 2 2
1479926840677 7 1
1479926845913 12 -3
1479926856301 7 -1
1479926859561 1 -1
1479926860847 2 -2
1479926863891 5 -1
1479926865463 1 3
1479926868457 9 1
1479926874615 1 -3
1479926876517 4 1
1479926877675 7 -1
1479926883725 2 2
1479926885362 2 -2
1479926887102 3 -1
1479926888480 6 1
1479926892634 1 2
1479926894188 7 1
1479926895205 4 -1
1479926896552 9 -1
1479926898564 1 -2
1479926901770 6 -2
1479926902874 3 1
1479926905910 2 3
1479926907459 7 1
1479926911044 1 3
1479926912674 7 -1
1479926914761 1 -3
1479926916017 5 1
1479926917384 7 1
1479926921281 1 2
1479926925029 12 3
1479926926573 7 -1
1479926928219 5 -1
1479926929412 1 1
1479926932071 7 1
1479926934372 12 -3
1479926937777 R
1479926957877 3 1
1479926958891 7 2
1479926960595 0 1
1479926968309 11 -3
1479926972485 11 3
1479926973805 10 -1
1479926975871 0 -1
1479926977103 4 -1
1479926979687 7 -2
1479926990548 4 1
1479926991590 7 -1
1479926998838 8 -2
1479927000203 2 -2
1479927001750 1 2
1479927006452 3 -1
1479927008354 12 -1
1479927011600 9 -1
1479927014225 1 -1
1479927015665 2 2
1479927016935 3 1
1479927018543 5 1
1479927019943 11 1
1479927021261 8 -1
1479927022787 7 2
1479927025601 12 -3
1479927030030 7 -2
1479927034393 1 -1
1479927036031 2 -2
1479927038600 8 4
1479927040410 11 -1
1479927041812 5 -1
1479927043271 2 2
1479927045398 7 3
1479927053153 4 -1
1479927054382 9 -1
1479927059143 1 1
1479927060475 0 1
1479927061791 11 -1
1479927064537 12 3
1479927066709 11 -1
1479927069599 12 -2
1479927070975 1 -1
1479927072661 8 -1
1479927076457 9 2
1479927077631 4 1
1479927079489 4 -1
1479927082763 11 2
1479927083864 12 -1
1479927086372 0 -1
1479927087792 7 -2
1479927096872 4 1
1479927098476 7 -1
1479927107091 7 3
1479927108205 0 1
1479927109196 12 1
1479927110244 10 1
1479927111595 11 -3
1479927112573 0 -1
1479927115038 7 -1
1479927117807 3 -1
1479927119552 9 -1
1479927120510 8 1
1479927122104 1 1
1479927123236 12 2
1479927125920 7 -1
1479927127079 2 -3
1479927131434 1 1
1479927133244 7 1
1479927134248 12 -2
1479927136200 1 -2
1479927137979 8 -1
1479927139750 3 1
1479927140714 7 1
1479927143065 6 -1
1479927144192 3 1
1479927146383 0 1
1479927147821 11 2
1479927149002 10 -1
1479927150151 12 -1
1479927151955 4 -1
1479927153273 9 -1
1479927154701 6 -1
1479927157909 12 1
1479927159409 11 -1
1479927162883 6 1
1479927164737 9 1
1479927165627 4 1
1479927167582 10 1
1479927168521 11 -1
1479927171374 0 -1
1479927173552 7 -1
1479927174656 3 -2
1479927176054 6 1
1479927177650 9 1
1479927179152 3 1
1479927180296 7 1
1479927183558 7 -1
1479927186800 9 -1
1479927187701 8 1
1479927189946 1 2
1479927192024 12 2
1479927193262 7 -1
1479927194572 3 -1
1479927197360 2 1
1479927200705 1 -1
1479927202272 2 2
1479927204104 2 -3
1479927206430 1 1
1479927207987 7 1
1479927209323 12 -2
1479927210922 1 -2
1479927212092 3 1
1479927213307 7 1
1479927215409 8 -1
1479927216890 6 -1
1479927217791 3 1
1479927219949 7 -1
1479927221549 5 2
1479927226129 5 -2
1479927226958 7 1
1479927228423 0 1
1479927229644 11 2
1479927230541 10 -1
1479927231532 4 -1
1479927232394 9 -1
1479927234689 3 -1
1479927236290 6 1
1479927237582 8 1
1479927239111 1 2
1479927240658 0 4
