1479248104276 R
1479248115764 9 -2
1479248117964 3 1
1479248118644 0 1
1479248119364 4 -2
1479248120952 9 -1
1479248122948 7 1
1479248125056 8 2
1479248126789 8 -2
1479248129621 7 -2
1479248130247 6 1
1479248131179 1 2
1479248133025 0 1
1479248133973 5 -2
1479248136775 10 1
1479248137889 2 2
1479248138745 5 -1
1479248140405 0 -1
1479248141198 1 -2
1479248142413 9 3
1479248145210 6 -1
1479248145849 7 1
1479248146765 3 1
1479248147613 4 2
1479248148829 0 -1
1479248152929 8 1
1479248153403 2 1
1479248154653 3 -4
1479248155435 0 1
1479248156051 4 -3
1479248157162 9 -3
1479248158109 6 -3
1479248159561 7 1
1479248160115 1 2
1479248160793 10 2
1479248163246 8 1
1479248164133 0 2
1479248164989 3 3
1479248165926 4 1
1479248166437 5 2
1479248167185 2 -3
1479248167825 8 -2
1479248168344 0 2
