1479846028280 R
1479846045080 1 1
1479846049319 1 -1
1479846059303 2 -2
1479846066448 0 -1
1479846067983 2 2
1479846069039 3 3
1479846078024 3 -3
1479846078880 3 1
1479846088111 0 2
1479846090239 3 -1
1479846091615 3 3
1479846094135 1 1
1479846095495 2 -3
1479846097551 3 -3
1479846098807 11 -2
1479846103975 6 -2
1479846115151 6 2
1479846118504 11 2
1479846123455 6 -2
1479846127031 3 1
1479846130959 0 -1
1479846132271 3 1
1479846148631 3 -2
1479846157343 6 2
1479846159735 2 3
1479846163311 1 -1
1479846165423 0 -1
1479846169527 5 -2
1479846171336 10 -1
1479846172079 10 1
1479846176047 10 -1
1479846183871 11 -1
1479846185135 6 -1
1479846187319 5 2
1479846191903 5 -2
1479846201263 5 2
1479846204975 3 1
1479846208599 10 1
1479846210231 0 2
1479846225967 0 -2
1479846230855 3 -1
1479846232607 5 -2
1479846242343 10 -1
1479846247407 10 1
1479846252223 5 2
1479846253751 0 2
1479846255423 1 1
1479846257935 3 1
1479846260375 1 -1
1479846263319 1 1
1479846266183 0 -1
1479846267831 5 -1
1479846279095 11 1
1479846281095 3 1
1479846284231 1 -1
1479846285623 0 -1
1479846287271 10 -3
1479846307919 R
1479846321743 1 1
1479846327551 3 3
1479846334217 3 -3
1479846335759 11 -1
1479846340551 1 -1
1479846341775 0 -1
1479846346223 2 -2
1479846347431 2 2
1479846349519 5 -2
1479846353759 10 -1
1479846354927 11 1
1479846357487 2 -2
1479846359047 2 2
1479846361847 5 1
1479846363559 3 3
1479846365567 10 -2
1479846367191 5 -1
1479846370103 0 1
1479846371527 0 -1
1479846373007 5 2
1479846374423 0 2
1479846377487 7 1
1479846379519 7 -1
1479846381863 0 -2
1479846383631 5 -2
1479846385367 7 2
1479846388351 0 1
1479846390679 8 -1
1479846391887 0 -1
1479846397999 9 -2
1479846400720 4 -2
1479846403103 11 1
1479846404463 6 1
1479846410503 0 1
1479846414863 1 3
1479846416735 0 -1
1479846421367 10 1
1479846423599 10 -1
1479846425543 10 1
1479846426647 2 -3
1479846437863 5 -1
1479846451207 6 -1
1479846456143 6 1
1479846467807 U
1479846471583 6 1
1479846480911 5 1
1479846484471 2 3
1479846489287 10 -1
1479846491255 0 1
1479846492607 1 -3
1479846493543 0 -1
1479846524071 0 1
1479846530055 1 3
1479846533719 1 -3
1479846542887 1 3
