1481221840739 R
1481221847051 5 -2
1481221848379 11 -1
1481221849218 6 -1
1481221860668 2 -2
1481221862723 11 -1
1481221863451 6 -1
1481221873594 6 2
1481221876883 11 2
1481221879875 2 2
1481221899459 6 -1
1481221901620 11 -1
1481221904106 5 2
1481221905346 0 1
1481221907674 11 1
1481221910236 3 2
1481221912907 0 -1
1481221917764 2 -2
1481221924482 3 -2
1481221925906 0 1
1481221927747 11 -2
1481221928964 6 -1
1481221930843 1 1
1481221932219 2 -1
1481221952475 3 1
1481221955498 2 1
1481221962899 0 -1
1481221983083 6 2
1481221984243 11 2
1481221985619 3 2
1481221988090 0 1
1481221996483 U
1481222005139 2 -1
1481222007699 3 -3
1481222010883 0 1
1481222019531 3 3
1481222032788 2 3
1481222035595 0 -1
1481222037899 1 -1
1481222039763 0 -1
1481222047764 10 -2
1481222054803 10 -1
1481222057555 5 -2
1481222059122 0 1
1481222062883 0 -1
1481222081019 R
1481222085651 3 3
1481222537811 0 -1
1481222539107 2 -2
1481222545963 3 -3
1481222548387 0 2
