1482754013481 R
1482754049673 R
1482754067585 6 -1
1482754073633 9 2
1482754081322 3 1
1482754084657 10 -1
1482754089305 2 -1
1482754096305 2 1
1482754097425 4 1
1482754100954 10 1
1482754103441 3 -1
1482754109898 7 -1
1482754111105 9 -2
1482754114242 6 1
1482754133681 7 1
1482754138753 6 -1
1482754139977 9 2
1482754141610 3 1
1482754144970 4 -1
1482754147217 1 -3
1482754152625 2 -1
1482754154122 5 -2
1482754157530 6 -1
1482754177346 10 -1
1482754179946 7 -2
1482754188754 8 -2
1482754192346 9 1
1482754195929 7 3
1482754197553 6 2
1482754199801 3 1
1482754202001 10 1
1482754206001 0 3
1482754212417 1 2
1482754215425 3 -1
1482754216761 7 -2
1482754221353 10 -3
1482754238346 R
1482754241314 2 -1
1482754245761 6 -1
1482754246905 9 2
1482754250034 7 -1
1482754251393 3 1
1482754254209 2 1
1482754254841 4 1
1482754256761 4 -1
1482754258640 2 -1
1482754261992 3 -1
1482754263232 9 -2
1482754264712 6 1
1482754267920 7 1
1482754272872 10 -1
1482754472993 6 -1
