1481761327903 R
1481761331506 6 -1
1481761332535 9 2
1481761333548 3 1
1481761334351 1 -3
1481761335729 6 -2
1481761337903 6 2
1481761339236 2 -1
1481761340076 5 -2
1481761341754 6 -1
1481761342968 7 -1
1481761343861 8 -2
1481761344464 9 1
1481761345493 6 2
1481761346605 7 2
1481761347532 3 1
1481761348328 0 3
1481761349435 3 -1
1481761350210 7 -2
1481761353041 1 2
1481761354451 10 -3
1481761355042 7 -1
1481761356114 6 1
1481761357385 1 -1
1481762107992 R
1481762111624 10 -1
1481762112680 4 1
1481762114465 7 -2
1481762115781 6 -1
1481762116404 9 2
1481762117219 3 1
1481762119167 7 2
1481762119927 7 -2
1481762121940 1 -3
1481762122703 5 -1
1481762123265 8 -1
1481762123854 7 3
1481762124638 3 1
1481762125290 0 1
1481762125905 1 2
1481762126517 10 -3
1481762129819 1 -1
1481762132832 R
1481762134363 2 -1
1481762136630 7 -1
1481762139225 7 1
1481762139784 6 -1
1481762140454 9 2
1481762141273 3 1
1481762142296 1 -3
1481762143139 6 -1
1481762144183 7 -1
1481762145740 10 -1
1481762146365 7 -1
1481762148045 5 -2
1481762150057 8 -2
1481762150678 9 1
1481762153017 7 3
1481762153963 3 1
1481762154633 0 1
1481762155397 10 -1
1481762156181 6 2
1481762156899 0 2
1481762157704 3 -1
1481762158461 7 -3
1481762160127 6 1
1481762163475 1 2
1481762164917 1 -2
