1482752451287 R
1482752455845 4 1
1482752463260 10 -1
1482752469715 7 -2
1482752475986 6 -1
1482752484169 6 2
1482752489561 4 -1
1482752491088 2 -1
1482752501944 2 1
1482752504582 R
1482752509590 6 -1
1482752511743 9 2
1482752515701 10 -1
1482752520724 4 1
1482752523532 7 -2
1482752525612 9 -2
1482752529835 6 2
1482752533243 4 -1
1482752539801 2 -1
1482752546801 6 -2
1482752550041 9 2
1482752551224 7 2
1482752554888 10 1
1482752561567 R
1482752574293 6 -1
1482752576645 10 -1
1482752578598 9 2
1482752583013 4 1
1482752589996 10 1
1482752594763 9 -2
1482752600171 4 -1
1482752602028 6 1
1482752605114 7 -1
1482752620416 R
1482752629029 10 -1
1482752630990 6 -1
1482752632365 9 2
1482752633845 3 1
1482752636085 1 -3
1482752639684 7 -2
1482752641902 6 -2
1482752647515 5 -1
1482752648635 8 -1
1482752659082 7 3
1482752661345 10 1
1482752662601 3 1
1482752667930 6 2
1482752670104 2 -1
1482752671761 5 -1
1482752686679 0 1
1482752688207 10 -2
1482752693383 6 -1
1482752699396 8 -1
1482752700691 9 1
1482752704212 6 2
1482752705308 0 2
1482752706771 3 -1
1482752708035 7 -3
1482752710027 6 1
1482752727385 6 -1
1482752729640 7 3
1482752730968 3 1
1482752734617 1 2
1482752736697 10 -1
1482752741462 3 -1
1482752742356 7 -3
1482752745687 7 3
1482752748270 10 3
1482752750437 1 -2
1482752752414 3 1
1482752755645 1 2
1482752757028 1 -2
1482752758613 R
1482752767076 6 -1
1482752771372 10 -1
1482752773331 9 2
1482752774274 7 -2
1482752776553 3 1
1482752780929 1 -3
1482752782555 6 -2
1482752784562 5 -1
1482752790369 7 2
1482752796966 7 -2
1482752798263 8 -1
1482752799237 7 3
1482752800696 3 1
1482752801886 0 3
1482752802927 3 -1
1482752804117 7 -3
1482752805614 8 1
1482752807926 10 -1
1482752810573 5 1
1482752816702 7 2
1482752821461 10 2
