1482857048912 R
1482857052989 9 -1
1482857053723 9 1
1482857055605 0 1
1482857056436 12 1
1482857057934 12 -1
1482857059921 4 2
1482857061172 10 -2
1482857062554 0 1
1482857063179 9 -1
1482857065261 9 1
1482857066506 0 1
1482857067106 2 1
1482857068079 12 1
1482857068651 12 -1
1482857069474 2 -1
1482857070269 1 1
1482857071386 12 2
1482857072204 0 -2
1482857073515 10 1
1482857075601 12 -2
1482857076515 0 -1
1482857077151 2 1
1482857077915 5 -3
1482857079117 10 -1
1482857080106 9 -2
1482857082752 10 1
1482857091540 9 1
1482857092531 9 1
1482857093651 9 -2
1482857094778 4 -3
1482857096770 1 2
1482857099972 8 -1
1482857100739 11 -1
1482857101687 1 -1
1482857104203 9 2
1482857105321 3 -2
1482857106166 6 1
1482857108278 R
1482857110904 2 1
1482857111756 5 -3
1482857117995 5 2
1482857119035 9 -2
1482857120173 2 -1
1482857120852 0 1
1482857121738 12 1
1482857123197 4 2
1482857124043 10 -1
1482857125455 10 1
1482857126300 12 -1
1482857127085 0 -1
1482857128155 10 -1
1482857128796 4 -2
1482857129422 1 1
1482857130264 11 -1
1482857131396 R
1482857133829 10 -2
1482857135731 6 1
1482857136342 3 1
1482857137996 1 1
1482857138965 0 2
1482857139861 11 -2
1482857140971 11 2
1482857141482 1 -1
1482857142477 12 1
1482857144030 1 1
1482857144514 6 -1
1482857145008 3 -1
1482857145714 4 2
1482857147955 0 1
1482857148787 2 1
1482857150133 9 -1
1482857151371 7 -1
1482857152339 7 1
1482857152877 9 1
1482857153515 2 -1
1482857154485 0 -2
1482857155176 10 1
1482857155684 4 -2
1482857156196 5 -1
1482857157365 9 -2
1482857158830 4 2
1482857160469 12 -1
1482857161110 0 -1
1482857162403 2 1
1482857163258 5 -2
1482857164498 1 -1
1482857165674 4 -3
1482857166563 1 3
1482857167541 2 1
1482857169644 6 1
1482857170195 3 1
1482857171043 2 2
1482857172165 0 1
1482857173109 10 -1
1482857173909 1 -3
1482857178036 12 1
1482857178709 5 -1
1482857179693 0 1
1482857182646 1 3
1482857183589 8 -3
1482857186898 1 -3
1482857187989 1 3
1482857188787 2 -1
1482857189459 3 -2
1482857191230 11 -1
1482857192045 3 -1
1482857192868 2 1
1482857193850 1 -2
1482857195680 7 -2
1482857196370 6 1
1482857197941 4 1
1482857198484 6 -1
1482857199501 6 1
1482857199987 6 -1
1482857201067 6 1
1482857201847 6 -1
1482857202695 7 2
1482857203518 4 -1
1482857204579 1 2
1482857205556 8 2
1482857206501 0 -1
1482857207309 10 1
1482857208138 5 2
1482857209014 1 -1
1482857210480 12 -1
1482857211172 0 -1
1482857212135 5 -1
1482857213350 10 -1
1482857214547 1 1
1482857215277 1 -1
1482857215621 1 1
1482857216615 2 -3
1482857217515 1 -1
1482857218238 6 -1
1482857219101 7 -2
1482857221426 6 2
1482857222180 3 4
1482857223510 8 1
1482857224892 11 1
1482857225627 1 -2
1482857226616 6 -2
1482857227269 3 -2
1482857228035 7 2
1482857229427 4 3
1482857231518 10 2
1482857232293 5 2
1482857233086 2 -1
1482857233973 10 -1
1482857234916 0 1
1482857235398 10 1
1482857236676 0 -1
1482857237172 2 1
1482857237869 5 -2
1482857239842 10 -2
1482857241568 4 -3
1482857243748 1 3
1482857244678 2 1
1482857245955 11 -1
1482857246742 8 -1
1482857247989 10 1
1482857250322 R
1482857258268 5 -1
1482857259137 9 -2
1482857260027 4 2
1482857263141 10 -1
1482857263787 1 1
1482857264509 4 -2
1482857265222 4 2
1482857266558 2 1
1482857267341 5 -2
1482857268276 4 -3
1482857269195 1 2
1482857270347 8 -1
1482857270910 11 -1
1482857271733 3 -2
1482857273358 2 1
1482857274518 5 1
1482857275365 2 -1
1482857278020 6 1
1482857279077 2 3
1482857279874 0 1
1482857281340 0 -1
1482857281895 1 -1
1482857282726 7 -2
1482857283364 6 1
1482857285292 0 1
1482857286270 11 -1
1482857287310 5 -1
1482857287965 10 -1
1482857288661 0 1
1482857289715 8 -2
1482857290677 1 -1
1482857293094 1 1
1482857295643 1 -1
1482857296574 6 -1
1482857297331 7 2
1482857298507 9 2
1482857299261 9 -2
1482857299933 4 1
1482857300517 4 -1
1482857301955 1 2
1482857302861 8 2
1482857303662 1 -1
1482857306247 8 -2
1482857307461 11 1
1482857308941 12 1
1482857309627 5 -1
1482857312344 1 -1
1482857314792 7 -2
1482857315911 R
1482857317527 9 -1
1482857318662 6 1
1482857319206 3 1
1482857322717 2 1
1482857323605 5 -3
1482857324733 10 -2
1482857326981 6 -1
1482857327559 3 -1
1482857328387 4 2
1482857330347 10 2
1482857331221 5 3
1482857332212 2 -1
1482857333412 10 -2
1482857335337 4 -2
1482857337867 4 2
1482857338646 10 2
1482857339295 2 1
1482857339995 5 -3
1482857341251 5 3
1482857341901 2 -1
1482857342582 10 -2
1482857343695 0 1
1482857344326 0 1
1482857344998 1 1
1482857346766 12 2
1482857347572 0 -1
1482857349725 4 -2
1482857351324 4 2
1482857352199 0 2
1482857353053 2 1
1482857354691 2 -1
1482857356373 0 -2
