1481916774177 R
1481916780016 2 1
1481916785662 2 -1
1481916788487 5 -1
1481916789925 9 -2
1481916791181 7 -2
1481916794990 7 2
1481916796058 4 2
1481916797597 10 -1
1481916798923 4 -2
1481916802630 0 1
1481916803523 12 1
1481916811688 10 1
1481916813414 12 -1
1481916816834 4 2
1481916820570 9 2
1481916822592 5 1
1481916825710 0 -1
1481916826724 2 1
1481916828822 2 -1
1481916829896 10 -2
1481916831407 4 -2
1481916832612 1 1
1481916833743 11 -1
1481916834903 0 2
1481916835956 11 -1
1481916838781 11 2
1481916845051 6 1
1481916846040 3 1
1481916849952 11 -2
1481916852971 0 -1
1481916855880 6 -1
1481916857475 3 -1
1481916859195 4 2
1481916863062 0 2
1481916864309 2 1
1481916866377 2 -1
1481916878518 0 -2
1481916879396 10 1
1481916880725 5 -1
1481916882552 9 -2
1481916886498 9 1
1481916887255 R
1481916891173 10 -2
1481916892424 4 2
1481916894165 10 2
1481916895058 5 -1
1481916895908 2 1
1481916896857 5 -2
1481916898979 10 -2
1481916902219 1 1
1481916903182 11 -1
1481916908438 R
1481916916145 6 1
1481916918036 10 -2
1481916920399 6 -1
1481916922202 4 2
1481916925642 9 -1
1481916947718 4 -2
1481916952292 6 1
1481916953498 3 1
1481916955546 10 2
1481916957949 5 -1
1481916959662 9 -1
1481916961488 7 -2
1481916963314 6 -1
1481916964556 3 -1
1481916968196 6 2
1481916969180 3 2
1481916970108 10 2
1481916972786 1 1
1481916974299 0 2
1481916977512 0 -2
1481916981234 1 -1
1481916987930 10 -3
1481916992758 1 1
1481916993652 0 1
1481916994604 11 -2
1481916998640 R
1481917002829 2 1
1481917008147 5 -3
1481917012902 5 3
1481917013748 2 -1
1481917014657 0 1
1481917016539 10 -2
1481917020025 0 1
1481917021665 0 -2
1481917022703 1 1
1481917023886 0 2
1481917025211 12 2
1481917026880 0 -1
1481917028529 10 1
1481917029815 5 -1
1481917031931 4 2
1481917033301 9 -2
1481917037809 R
1481917044891 10 -2
1481917050075 0 1
1481917052527 12 1
1481917060709 9 -1
1481917061751 7 -1
1481917063763 3 2
1481917065179 6 1
1481917067281 1 1
1481917068795 0 1
